strategy,pair,func,dim,n,improve_pct,wilcoxon_p,significant_005,significant_001,cohens_d,effect_size
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,15,0.3278,0.002625,1,1,0.7968,medium
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,10,0.1758,0.027344,1,0,0.6641,medium
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,20,0.1795,0.044054,1,0,0.3395,small
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,5,0.2761,0.125,0,0,0.6322,medium
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,100,15,0.6037,6.1e-05,1,1,6.2214,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,5,0.9654,0.0625,0,0,23.2704,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,200,10,0.9293,0.001953,1,1,7.7382,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,3,1.0782,0.25,0,0,61.5332,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2,2.6727,NaN,0,0,104.2433,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2,1.8293,NaN,0,0,97.3552,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,50,20,0.5234,2e-06,1,1,5.137,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,500,5,0.8914,0.0625,0,0,10.9825,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,2,1.7787,NaN,0,0,36.3023,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,100,15,0.0313,0.25238,0,0,0.1979,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,200,10,-0.0492,0.130859,0,0,-0.3532,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Griewank,50,20,-0.0256,0.498009,0,0,-0.1213,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,15,0.0203,0.761536,0,0,0.0157,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,5,-0.0,0.8125,0,0,-0.0001,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,10,-0.0,0.921875,0,0,-0.0,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,0.0244,0.75,0,0,0.0646,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,0.0307,NaN,0,0,1.2262,large
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,0.005,NaN,0,0,0.0247,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,20,0.0467,0.701181,0,0,0.0241,small
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,5,-0.0,1.0,0,0,-0.0,small
