strategy,func,algo,spearman_rho,spearman_p,correlation,significant,n_dims,fopt_50D,fopt_maxD
best1bin,Zakharov,DEoptim,1.0,0.0,increasing,1,4,1104786159318461.4,1.2943695526983188e+22
best1bin,Zakharov,GA,1.0,0.0,increasing,1,4,1512953031732195.5,6.343866956064009e+22
best1bin,Zakharov,PSO,1.0,0.0,increasing,1,4,853915058111520.0,1.2531567661324549e+22
sobol,Rastrigin,SMCO,1.0,0.0,increasing,1,9,1711.62747192,142458.32504619
sobol,Rastrigin,SMCO_R,1.0,0.0,increasing,1,9,1711.40074284,142512.25069086
sobol,Rastrigin,SMCO_BR,1.0,0.0,increasing,1,9,1713.6892573,142460.14573843
sobol,Rastrigin,SMCO_EVO,1.0,0.0,increasing,1,9,1713.49036094,142433.69305263
sobol,Rastrigin,SMCO_R_EVO,1.0,0.0,increasing,1,9,1712.19966993,142537.52309274
sobol,Rastrigin,SMCO_BR_EVO,1.0,0.0,increasing,1,9,1713.22486886,142460.96411805
sobol,Rastrigin,GenSA,1.0,0.0,increasing,1,9,2017.66450969,201766.21261094
sobol,Rastrigin,SA,1.0,0.0,increasing,1,9,2016.65940883,144455.59698672
sobol,Rastrigin,DEoptim,1.0,0.0,increasing,1,9,1319.76307953,95772.36984368
sobol,Rastrigin,GA,1.0,0.0,increasing,1,9,1677.50704804,94743.88053802
sobol,Rastrigin,PSO,1.0,0.0,increasing,1,9,1513.66428745,144957.97011654
sobol,Ackley,SMCO,0.2833,0.46003,increasing,0,9,21.63699628,21.69704496
sobol,Ackley,SMCO_R,-0.9167,0.000507,decreasing,1,9,22.07309395,21.7257027
sobol,Ackley,SMCO_BR,-0.95,8.8e-05,decreasing,1,9,22.06999457,21.91259762
sobol,Ackley,SMCO_EVO,-0.9167,0.000507,decreasing,1,9,21.97752663,21.87962725
sobol,Ackley,SMCO_R_EVO,-0.9833,2e-06,decreasing,1,9,22.07529871,21.91723918
sobol,Ackley,SMCO_BR_EVO,-0.85,0.003705,decreasing,1,9,22.07273105,21.93677007
sobol,Ackley,GenSA,-1.0,0.0,decreasing,1,9,22.29973317,21.7314873
sobol,Ackley,SA,-1.0,0.0,decreasing,1,9,22.06548527,21.66547433
sobol,Ackley,DEoptim,-1.0,0.0,decreasing,1,9,21.83010022,21.32833238
sobol,Ackley,GA,-1.0,0.0,decreasing,1,9,21.87333817,21.38560647
sobol,Ackley,PSO,-0.9833,2e-06,decreasing,1,9,22.08361389,21.7214349
sobol,Rosenbrock,SMCO,1.0,0.0,increasing,1,9,28590556.0892473,1953961917.8469484
sobol,Rosenbrock,SMCO_R,1.0,0.0,increasing,1,9,27764812.00991679,1699574361.5793364
sobol,Rosenbrock,SMCO_BR,1.0,0.0,increasing,1,9,25826421.53841371,1318276891.8457017
sobol,Rosenbrock,SMCO_EVO,1.0,0.0,increasing,1,9,28580814.58439665,1954076967.4365642
sobol,Rosenbrock,SMCO_R_EVO,1.0,0.0,increasing,1,9,27724937.10859034,1699732400.7509956
sobol,Rosenbrock,SMCO_BR_EVO,1.0,0.0,increasing,1,9,25777195.21691478,1318443378.4286544
sobol,Rosenbrock,GenSA,1.0,0.0,increasing,1,9,39986469.0,4049887419.0
sobol,Rosenbrock,SA,1.0,0.0,increasing,1,9,27331490.25,2720911801.5
sobol,Rosenbrock,DEoptim,1.0,0.0,increasing,1,9,19070985.76680293,703836218.4663241
