evo_algo,func,dim,strategy,fopt_mean,rank_among_strategies
SMCO_R_EVO,Ackley,2000,current-to-best1bin,22.1366682,3
SMCO_R_EVO,Ackley,2000,sobol,21.94555814,4
SMCO_R_EVO,Ackley,3000,rand1bin,22.17659688,1
SMCO_R_EVO,Ackley,3000,best1bin,22.15591204,2
SMCO_R_EVO,Ackley,3000,current-to-best1bin,22.1399903,3
SMCO_R_EVO,Ackley,3000,sobol,21.93947284,4
SMCO_R_EVO,Ackley,4000,rand1bin,22.14593543,1
SMCO_R_EVO,Ackley,4000,best1bin,22.1188384,2
SMCO_R_EVO,Ackley,4000,current-to-best1bin,22.09349817,3
SMCO_R_EVO,Ackley,4000,sobol,21.92082485,4
SMCO_R_EVO,Ackley,5000,rand1bin,22.15293404,1
SMCO_R_EVO,Ackley,5000,best1bin,22.13135628,2
SMCO_R_EVO,Ackley,5000,current-to-best1bin,22.11214145,3
SMCO_R_EVO,Ackley,5000,sobol,21.91723918,4
SMCO_R_EVO,Rosenbrock,50,best1bin,28090671.57904389,1
SMCO_R_EVO,Rosenbrock,50,rand1bin,27998607.69056036,2
SMCO_R_EVO,Rosenbrock,50,current-to-best1bin,27768828.65318396,3
SMCO_R_EVO,Rosenbrock,50,sobol,27724937.10859034,4
SMCO_R_EVO,Rosenbrock,100,best1bin,52844982.57099104,1
SMCO_R_EVO,Rosenbrock,100,rand1bin,52699529.12167532,2
SMCO_R_EVO,Rosenbrock,100,current-to-best1bin,52615451.99542574,3
SMCO_R_EVO,Rosenbrock,100,sobol,52599687.93597718,4
SMCO_R_EVO,Rosenbrock,200,best1bin,99538918.1399662,1
SMCO_R_EVO,Rosenbrock,200,current-to-best1bin,98481818.8781041,2
SMCO_R_EVO,Rosenbrock,200,rand1bin,98068775.4764937,3
SMCO_R_EVO,Rosenbrock,200,sobol,98056452.77600032,4
SMCO_R_EVO,Rosenbrock,500,best1bin,227239253.18552732,1
SMCO_R_EVO,Rosenbrock,500,rand1bin,227030141.56131357,2
SMCO_R_EVO,Rosenbrock,500,current-to-best1bin,227000486.48482817,3
SMCO_R_EVO,Rosenbrock,500,sobol,226988996.3101281,4
SMCO_R_EVO,Rosenbrock,1000,best1bin,431293381.85747737,1
SMCO_R_EVO,Rosenbrock,1000,rand1bin,422691334.4917344,2
SMCO_R_EVO,Rosenbrock,1000,sobol,422669231.5976954,3
SMCO_R_EVO,Rosenbrock,1000,current-to-best1bin,422659750.85499537,4
