strategy,func,algo,dim,fopt_mean,fopt_std
rand1bin,Ackley,GenSA,5000,21.7314873,0.01241529
rand1bin,Ackley,SA,50,22.06548527,0.05143156
rand1bin,Ackley,SA,100,22.05759957,0.02872788
rand1bin,Ackley,SA,200,22.04652536,0.02294301
rand1bin,Ackley,SA,500,22.03743133,0.01961288
rand1bin,Ackley,SA,1000,21.96278046,0.02290152
rand1bin,Ackley,SA,2000,21.8924745,0.0081464
rand1bin,Ackley,SA,3000,21.86492905,0.01409715
rand1bin,Ackley,SA,4000,21.84268349,0.00583576
rand1bin,Ackley,SA,5000,21.66547433,0.01439947
rand1bin,Ackley,DEoptim,50,21.83010022,0.01597561
rand1bin,Ackley,DEoptim,100,21.69894611,0.01944533
rand1bin,Ackley,DEoptim,200,21.5845815,0.01166533
rand1bin,Ackley,DEoptim,500,21.47007228,0.01307966
rand1bin,Ackley,DEoptim,1000,21.40238059,0.00977965
rand1bin,Ackley,DEoptim,2000,21.36305693,0.00278622
rand1bin,Ackley,DEoptim,3000,21.34290123,0.00159538
rand1bin,Ackley,DEoptim,4000,21.34122139,0.00758382
rand1bin,Ackley,DEoptim,5000,21.32833238,0.00054819
rand1bin,Ackley,GA,50,21.87333817,0.0170036
rand1bin,Ackley,GA,100,21.74723006,0.02657078
rand1bin,Ackley,GA,200,21.65704026,0.02025155
rand1bin,Ackley,GA,500,21.53476824,0.01845147
rand1bin,Ackley,GA,1000,21.46911005,0.01047325
rand1bin,Ackley,GA,2000,21.42397827,0.01420167
rand1bin,Ackley,GA,3000,21.40466069,0.01114725
rand1bin,Ackley,GA,4000,21.39722857,0.01819583
rand1bin,Ackley,GA,5000,21.38560647,0.02742151
rand1bin,Ackley,PSO,50,22.08361389,0.05284011
rand1bin,Ackley,PSO,100,22.0341271,0.03048577
rand1bin,Ackley,PSO,200,21.95255027,0.04773278
rand1bin,Ackley,PSO,500,21.87354392,0.01061613
rand1bin,Ackley,PSO,1000,21.78589313,0.0216697
rand1bin,Ackley,PSO,2000,21.77345901,0.01220993
rand1bin,Ackley,PSO,3000,21.74146524,0.01550264
rand1bin,Ackley,PSO,4000,21.71180501,0.00794571
rand1bin,Ackley,PSO,5000,21.7214349,0.00749892
rand1bin,Rosenbrock,SMCO,50,28590556.0892473,1143423.43655756
rand1bin,Rosenbrock,SMCO,100,54630111.70819072,1678805.48785978
rand1bin,Rosenbrock,SMCO,200,103124528.56873003,1790986.63388525
rand1bin,Rosenbrock,SMCO,500,243714058.24041504,2673938.43393376
rand1bin,Rosenbrock,SMCO,1000,463389064.88490987,2712843.21054237
rand1bin,Rosenbrock,SMCO,2000,869247612.9724324,6089094.39919715
rand1bin,Rosenbrock,SMCO,3000,1239722873.845387,1018451.97238844
rand1bin,Rosenbrock,SMCO,4000,1601610810.9908462,5187853.93675735
rand1bin,Rosenbrock,SMCO,5000,1953961917.8469484,3915142.6489223
rand1bin,Rosenbrock,SMCO_R,50,27764812.00991679,1123684.5684028
rand1bin,Rosenbrock,SMCO_R,100,52616803.95826252,1624365.09657809
rand1bin,Rosenbrock,SMCO_R,200,98101461.91474606,1735329.27071502
rand1bin,Rosenbrock,SMCO_R,500,226905423.5312902,3088818.7330746
rand1bin,Rosenbrock,SMCO_R,1000,422712947.9742656,3073704.22722023
rand1bin,Rosenbrock,SMCO_R,2000,775822748.1332974,4752104.9516167
rand1bin,Rosenbrock,SMCO_R,3000,1094303115.940483,23405.68370745
rand1bin,Rosenbrock,SMCO_R,4000,1399385030.0219135,911116.52937325
rand1bin,Rosenbrock,SMCO_R,5000,1699574361.5793364,3749109.16629494
rand1bin,Rosenbrock,SMCO_BR,50,25826421.5384137,1047855.25360289
rand1bin,Rosenbrock,SMCO_BR,100,47986687.78786815,1537370.69011369
rand1bin,Rosenbrock,SMCO_BR,200,87336134.89183861,1585200.49625457
rand1bin,Rosenbrock,SMCO_BR,500,194451615.14885083,3007025.21353842
rand1bin,Rosenbrock,SMCO_BR,1000,348193067.76848793,3832879.82962107
rand1bin,Rosenbrock,SMCO_BR,2000,618155929.2741712,2168963.02989108
rand1bin,Rosenbrock,SMCO_BR,3000,859724697.6735848,1105521.41345009
rand1bin,Rosenbrock,SMCO_BR,4000,1091605069.4387069,3466802.29551939
rand1bin,Rosenbrock,SMCO_BR,5000,1318276891.8457017,3002866.7691948
rand1bin,Rosenbrock,SMCO_EVO,50,28834998.96402782,1314685.40489865
rand1bin,Rosenbrock,SMCO_EVO,100,54636047.60828162,1650916.32389638
rand1bin,Rosenbrock,SMCO_EVO,200,103132153.02411371,1782722.03112972
rand1bin,Rosenbrock,SMCO_EVO,500,243665078.3340248,2762431.54255315
rand1bin,Rosenbrock,SMCO_EVO,1000,463431517.42857647,2633655.6307375
rand1bin,Rosenbrock,SMCO_EVO,2000,869043776.6301566,6011426.32346084
rand1bin,Rosenbrock,SMCO_EVO,3000,1239484708.4143791,1172390.18725187
rand1bin,Rosenbrock,SMCO_EVO,4000,1601772804.8045108,4592183.16617284
rand1bin,Rosenbrock,SMCO_EVO,5000,1953822312.2048445,4544455.90133427
rand1bin,Rosenbrock,SMCO_R_EVO,50,27998607.69056036,1072598.21681202
rand1bin,Rosenbrock,SMCO_R_EVO,100,52699529.12167532,1577113.56310208
rand1bin,Rosenbrock,SMCO_R_EVO,200,98068775.4764937,1821732.16832715
rand1bin,Rosenbrock,SMCO_R_EVO,500,227030141.56131357,3071099.16568533
rand1bin,Rosenbrock,SMCO_R_EVO,1000,422691334.4917344,3083106.42267275
rand1bin,Rosenbrock,SMCO_R_EVO,2000,781450086.1351376,8464298.08118484
rand1bin,Rosenbrock,SMCO_R_EVO,3000,1096805777.1641424,3632608.17016051
rand1bin,Rosenbrock,SMCO_R_EVO,4000,1458666064.155912,37178481.77542146
rand1bin,Rosenbrock,SMCO_R_EVO,5000,1763579913.2363734,22080603.54960403
rand1bin,Rosenbrock,SMCO_BR_EVO,50,26245254.52744256,1320912.6939298
rand1bin,Rosenbrock,SMCO_BR_EVO,100,48148821.41426232,1366244.99581378
rand1bin,Rosenbrock,SMCO_BR_EVO,200,87656387.0616571,1475978.01028101
rand1bin,Rosenbrock,SMCO_BR_EVO,500,201857043.123427,7818591.53191796
rand1bin,Rosenbrock,SMCO_BR_EVO,1000,367745225.4843526,13096918.38338002
rand1bin,Rosenbrock,SMCO_BR_EVO,2000,681642200.328956,13997670.56748048
rand1bin,Rosenbrock,SMCO_BR_EVO,3000,984001031.0391653,13939097.20618449
rand1bin,Rosenbrock,SMCO_BR_EVO,4000,1284332464.5678978,16073175.47084327
rand1bin,Rosenbrock,SMCO_BR_EVO,5000,1571387343.601668,15093979.43798774
rand1bin,Rosenbrock,GenSA,50,39986469.0,0.0
rand1bin,Rosenbrock,GenSA,100,80490519.0,0.0
rand1bin,Rosenbrock,GenSA,200,161498619.0,0.0
rand1bin,Rosenbrock,GenSA,500,404522919.0,0.0
rand1bin,Rosenbrock,GenSA,1000,809563419.0,0.0
rand1bin,Rosenbrock,GenSA,2000,1619644419.0,0.0
rand1bin,Rosenbrock,GenSA,3000,2429725419.0,0.0
rand1bin,Rosenbrock,GenSA,4000,3239806419.0,0.0
rand1bin,Rosenbrock,GenSA,5000,4049887419.0,0.0
