strategy,func,dim,algo,fopt_mean,time_mean,is_pareto,is_evo
rand1bin,Rastrigin,2000,GenSA,80706.5803873,502.28,1,False
rand1bin,Rastrigin,2000,SMCO_EVO,57883.78753974,3523.22,0,True
rand1bin,Rastrigin,2000,SMCO_BR,57911.78566871,3584.23,0,False
rand1bin,Rastrigin,2000,SMCO_R_EVO,57944.88808556,3621.24,0,True
rand1bin,Rastrigin,2000,SA,57849.42745157,372.61,0,False
rand1bin,Rastrigin,2000,SMCO,57881.3549303,3449.35,0,False
rand1bin,Rastrigin,2000,GA,39985.9666256,3.53,0,False
rand1bin,Rastrigin,2000,SMCO_R,57929.57599256,3405.64,0,False
rand1bin,Rastrigin,2000,DEoptim,39049.42474348,6569.31,0,False
rand1bin,Rastrigin,2000,SMCO_BR_EVO,57914.65963311,3490.12,0,True
rand1bin,Rastrigin,2000,PSO,58152.53797893,1.63,1,False
rand1bin,Rastrigin,3000,GenSA,121059.87040453,1026.68,1,False
rand1bin,Rastrigin,3000,SMCO_EVO,86027.41694923,6432.17,0,True
rand1bin,Rastrigin,3000,SMCO_BR,86027.3630172,6761.54,0,False
rand1bin,Rastrigin,3000,SMCO_R_EVO,86094.04443349,6521.89,0,True
rand1bin,Rastrigin,3000,SA,86781.56655992,605.73,0,False
rand1bin,Rastrigin,3000,SMCO,86021.13959544,6320.2,0,False
rand1bin,Rastrigin,3000,GA,59470.21118374,5.05,0,False
rand1bin,Rastrigin,3000,SMCO_R,86068.11548492,6384.09,0,False
rand1bin,Rastrigin,3000,DEoptim,57968.50182051,12986.21,0,False
rand1bin,Rastrigin,3000,SMCO_BR_EVO,86030.44584423,7026.94,0,True
rand1bin,Rastrigin,3000,PSO,87035.34159179,2.03,1,False
rand1bin,Rastrigin,4000,GenSA,161412.67179775,1628.37,1,False
rand1bin,Rastrigin,4000,SMCO_EVO,114316.99141116,12552.72,0,True
rand1bin,Rastrigin,4000,SMCO_BR,114314.06385418,12932.25,0,False
rand1bin,Rastrigin,4000,SMCO_R_EVO,114388.86054101,12431.64,0,True
rand1bin,Rastrigin,4000,SA,115692.09726628,1252.48,0,False
rand1bin,Rastrigin,4000,SMCO,114310.45677346,12580.61,0,False
rand1bin,Rastrigin,4000,GA,76768.81248488,6.87,0,False
rand1bin,Rastrigin,4000,SMCO_R,114374.76422764,12293.03,0,False
rand1bin,Rastrigin,4000,DEoptim,77000.13010232,21851.03,0,False
rand1bin,Rastrigin,4000,SMCO_BR_EVO,114315.02117796,13498.6,0,True
rand1bin,Rastrigin,4000,PSO,115988.19110692,2.76,1,False
rand1bin,Rastrigin,50,GenSA,2017.66450969,2.26,1,False
rand1bin,Rastrigin,50,optimNM,1237.61872891,0.19,0,False
rand1bin,Rastrigin,50,SPSA,1508.8629763,0.24,0,False
rand1bin,Rastrigin,50,optimLBFGS,1451.96119688,0.05,1,False
rand1bin,Rastrigin,50,SMCO_BR,1713.6892573,3.77,0,False
rand1bin,Rastrigin,50,SMCO_EVO,1713.47172525,3.17,0,True
rand1bin,Rastrigin,50,SMCO_R_EVO,1712.20163598,3.48,0,True
rand1bin,Rastrigin,50,SA,2016.65940883,9.65,0,False
rand1bin,Rastrigin,50,BOBYQA,1488.17347064,15.51,0,False
rand1bin,Rastrigin,50,SignGD,1495.11699502,1.69,0,False
rand1bin,Rastrigin,50,GA,1677.50704804,0.75,1,False
rand1bin,Rastrigin,50,SMCO_R,1711.40074284,3.15,0,False
rand1bin,Rastrigin,50,SMCO,1711.62747192,3.66,0,False
rand1bin,Rastrigin,50,SMCO_BR_EVO,1713.14177105,3.66,0,True
rand1bin,Rastrigin,50,DEoptim,1319.76307953,23.02,0,False
rand1bin,Rastrigin,50,GD,1457.88138575,0.35,0,False
rand1bin,Rastrigin,50,PSO,1513.66428745,0.21,1,False
rand1bin,Rastrigin,50,ADAM,1497.59990183,3.51,0,False
rand1bin,Rastrigin,500,GenSA,20176.64509689,52.12,1,False
rand1bin,Rastrigin,500,SMCO_EVO,14779.58001211,187.49,0,True
rand1bin,Rastrigin,500,SMCO_BR,14784.4241961,194.14,0,False
rand1bin,Rastrigin,500,SMCO_R_EVO,14794.55983703,189.2,0,True
rand1bin,Rastrigin,500,SA,20176.64509691,147.11,1,False
rand1bin,Rastrigin,500,SMCO,14779.85184275,186.7,0,False
rand1bin,Rastrigin,500,GA,11268.41156735,1.42,0,False
