strategy,pair,func,dim,improve_pct,time_overhead_pct,cost_benefit
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.3494,0.4,8.3925
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,3.4209,-0.45,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.1582,0.86,3.656
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.3226,0.78,2.9857
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,1.8447,1.3,1.4143
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.6772,1.77,0.9493
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,50,-0.0358,6.51,-0.0055
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,100,-0.0001,3.09,-0.0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,200,0.0152,6.37,0.0024
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,500,-0.0034,-0.6,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.0118,-1.64,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,-0.0242,-5.93,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,-0.0272,-4.36,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.0135,-7.88,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,-0.0028,-3.83,inf
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.0144,2.32,-0.0062
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.0112,2.33,0.0048
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.0137,8.84,-0.0016
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,50,0.1795,0.24,0.7609
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,100,0.3278,5.21,0.0629
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,200,0.1758,9.13,0.0193
current-to-best1bin,SMCO_vs_SMCO_EVO,Zakharov,500,0.2761,-1.27,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,0.0467,3.62,0.0129
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,100,0.0203,0.83,0.0246
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,200,-0.0,4.81,-0.0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,500,-0.0,3.28,-0.0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,-0.0,2.42,-0.0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.0244,0.37,0.0661
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.0307,1.94,0.0158
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.005,0.01,inf
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.0201,1.88,0.0106
