task_id,algo,func,dim,rep,fopt,time,iterations,pair
164,SMCO,Rosenbrock,500,7,241922813.81477284,167.69069695402868,323,SMCO_vs_SMCO_EVO
166,SMCO_BR,Rosenbrock,500,7,192654607.90800628,166.10683884902392,98,SMCO_BR_vs_SMCO_BR_EVO
171,SMCO_EVO,Rosenbrock,500,8,242390292.4925319,151.34260692505632,323,SMCO_vs_SMCO_EVO
170,SMCO,Rosenbrock,500,8,242011854.15865067,163.24638072005473,323,SMCO_vs_SMCO_EVO
174,SMCO_R,Rosenbrock,500,9,228062555.32930198,149.53463522298262,173,SMCO_R_vs_SMCO_R_EVO
168,SMCO_R,Rosenbrock,500,8,225014041.89581567,170.44273417198565,173,SMCO_R_vs_SMCO_R_EVO
179,SMCO_BR_EVO,Rosenbrock,500,9,195041341.7613029,155.17192994593643,173,SMCO_BR_vs_SMCO_BR_EVO
172,SMCO_BR,Rosenbrock,500,8,190901891.62568069,167.84314246696886,98,SMCO_BR_vs_SMCO_BR_EVO
173,SMCO_BR_EVO,Rosenbrock,500,8,190760365.52179986,166.45351835002657,173,SMCO_BR_vs_SMCO_BR_EVO
176,SMCO,Rosenbrock,500,9,244480900.22184688,160.2301472160034,323,SMCO_vs_SMCO_EVO
177,SMCO_EVO,Rosenbrock,500,9,244317184.17955413,160.75707969500218,323,SMCO_vs_SMCO_EVO
175,SMCO_R_EVO,Rosenbrock,500,9,228010432.34323367,162.98816407099366,323,SMCO_R_vs_SMCO_R_EVO
178,SMCO_BR,Rosenbrock,500,9,194649473.0440852,163.9455763900187,98,SMCO_BR_vs_SMCO_BR_EVO
180,SMCO_R,Zakharov,500,0,1.0995723031970724e+23,166.1617421930423,173,SMCO_R_vs_SMCO_R_EVO
182,SMCO,Zakharov,500,0,1.2537449155937443e+23,164.38540884200484,323,SMCO_vs_SMCO_EVO
186,SMCO_R,Zakharov,500,1,1.0872226299057682e+23,161.65741077205166,173,SMCO_R_vs_SMCO_R_EVO
184,SMCO_BR,Zakharov,500,0,7.991769529509248e+22,167.2267494670814,98,SMCO_BR_vs_SMCO_BR_EVO
188,SMCO,Zakharov,500,1,1.2463069521495861e+23,154.0580523579847,323,SMCO_vs_SMCO_EVO
