task_id,algo,func,dim,rep,fopt,time,iterations,pair
84,SMCO_R,Rastrigin,1000,2,29095.808617574112,746.9019886170281,182,
89,SMCO_R_EVO,Rastrigin,1000,4,29069.731664061128,762.1450327569619,332,
82,SMCO_R,Rastrigin,1000,1,29407.304311258486,773.3109676230233,182,
87,SMCO_R_EVO,Rastrigin,1000,3,29491.791572272254,788.3626688269433,332,
92,SMCO_R,Ackley,1000,1,21.940095481562068,1048.218318809988,182,
91,SMCO_R_EVO,Ackley,1000,0,22.121389112561943,1059.2431247590575,332,
97,SMCO_R_EVO,Ackley,1000,3,22.16593441075608,1046.8415806980338,332,
94,SMCO_R,Ackley,1000,2,21.92646537610895,1060.4798385499744,182,
95,SMCO_R_EVO,Ackley,1000,2,22.16411286035968,1077.916517588077,332,
96,SMCO_R,Ackley,1000,3,21.934879884295242,1100.9515440190444,182,
90,SMCO_R,Ackley,1000,0,21.934421338190383,1116.668449172983,182,
93,SMCO_R_EVO,Ackley,1000,1,22.14032442918693,1121.040223855991,332,
99,SMCO_R_EVO,Ackley,1000,4,22.136475744409204,1157.9454437879613,332,
98,SMCO_R,Ackley,1000,4,21.951018638615075,1174.8899854469346,182,
138,SMCO_R,Zakharov,2000,0,5.344490746466336e+27,1162.534090984962,195,
137,SMCO_R_EVO,Rosenbrock,2000,2,774635619.4780285,1193.3169136020588,345,
134,SMCO_R,Rosenbrock,2000,1,780816461.5215621,1204.647006960935,195,
132,SMCO_R,Rosenbrock,2000,0,768547712.0294168,1222.6775978960795,195,
136,SMCO_R,Rosenbrock,2000,2,775119904.6893737,1212.4259271019837,195,
133,SMCO_R_EVO,Rosenbrock,2000,0,769356059.7664477,1251.5920201439876,345,
142,SMCO_R,Zakharov,2000,2,5.38877785550575e+27,1224.6604149000486,195,
135,SMCO_R_EVO,Rosenbrock,2000,1,780271402.1593704,1267.5659771088976,345,
143,SMCO_R_EVO,Zakharov,2000,2,5.385963029256605e+27,1224.9723659179872,345,
140,SMCO_R,Zakharov,2000,1,5.321939607636924e+27,1252.5427177640377,195,
139,SMCO_R_EVO,Zakharov,2000,0,5.346226456590306e+27,1267.356007583905,345,
141,SMCO_R_EVO,Zakharov,2000,1,5.321144178928211e+27,1298.9283450130606,345,
