strategy,func,dim,algo,is_evo,mean,p01,p05,p10,worst,ae_from_best
current-to-best1bin,Zakharov,50,BOBYQA,False,1150165582894668.5,14135946803719.104,16674872428534.982,17603308832202.207,13501215397515.133,501494858141581.0
current-to-best1bin,Zakharov,50,DEoptim,False,1104786159318461.6,1029506517405846.1,1036634495822638.5,1059767471477259.8,1027724522801648.0,546874281717787.9
current-to-best1bin,Zakharov,50,GA,False,1512953031732195.8,1484782272892064.0,1495127023978114.8,1497161318526770.2,1482196085120551.2,138707409304053.75
current-to-best1bin,Zakharov,50,GD,False,1651660441036249.5,1651660441036250.0,1651660441036250.0,1651660441036250.0,1651660441036250.0,0.0
current-to-best1bin,Zakharov,50,GenSA,False,1651660441036249.5,1651660441036250.0,1651660441036250.0,1651660441036250.0,1651660441036250.0,0.0
current-to-best1bin,Zakharov,50,PSO,False,853915058111519.9,512371003277840.0,568120800508400.0,571788550326537.5,498433553970200.0,797745382924729.6
current-to-best1bin,Zakharov,50,SA,False,1651660441036249.5,1651660441036250.0,1651660441036250.0,1651660441036250.0,1651660441036250.0,0.0
current-to-best1bin,Zakharov,50,SMCO,False,1544460382804846.5,1532219168079608.5,1533437850074070.5,1534338515652555.8,1531914497580993.0,107200058231403.0
current-to-best1bin,Zakharov,50,SMCO_BR,False,1302651618260598.5,1264437196610369.8,1269244155356213.8,1272735018969932.2,1263235456923908.8,349008822775651.0
current-to-best1bin,Zakharov,50,SMCO_BR_EVO,True,1321579327789853.5,1276876231818245.8,1278802857393672.8,1290517877824576.8,1276394575424389.0,330081113246396.0
current-to-best1bin,Zakharov,50,SMCO_EVO,True,1547233201559311.5,1533640870835037.8,1535083977586372.2,1535756384211923.5,1533280094147204.2,104427239476938.0
current-to-best1bin,Zakharov,50,SMCO_R,False,1472185536847872.8,1453369898123090.5,1454514525429949.0,1455524742366818.8,1453083741296376.0,179474904188376.75
current-to-best1bin,Zakharov,50,SMCO_R_EVO,True,1481998819953021.5,1457448354430098.2,1459096242217090.2,1465870221276192.0,1457036382483350.2,169661621083228.0
current-to-best1bin,Zakharov,50,SPSA,False,371549039166977.9,268963768191189.44,276600249522466.03,277102649610320.0,267054647858370.3,1280111401869271.5
current-to-best1bin,Zakharov,50,SignGD,False,1651660441036249.5,1651660441036250.0,1651660441036250.0,1651660441036250.0,1651660441036250.0,0.0
current-to-best1bin,Zakharov,50,optimLBFGS,False,1651660441036249.5,1651660441036250.0,1651660441036250.0,1651660441036250.0,1651660441036250.0,0.0
current-to-best1bin,Zakharov,50,optimNM,False,32231142211511.2,11594489133731.268,13518775974990.365,14358589504344.58,11113417423416.494,1619429298824738.2
current-to-best1bin,Zakharov,500,DEoptim,False,1.2943695526983188e+22,1.2427417829117943e+22,1.2443437494010766e+22,1.2463462075126797e+22,1.2423412912894738e+22,1.408685652180379e+23
current-to-best1bin,Zakharov,500,GA,False,6.343866956064009e+22,6.162310421145647e+22,6.190471580105603e+22,6.22567302880555e+22,6.155270131405658e+22,9.037359118438101e+22
current-to-best1bin,Zakharov,500,GenSA,False,1.538122607450211e+23,1.538122607450211e+23,1.538122607450211e+23,1.538122607450211e+23,1.538122607450211e+23,0.0
current-to-best1bin,Zakharov,500,PSO,False,1.2531567661324549e+22,1.1102144766911342e+22,1.121416537506352e+22,1.1354191135253742e+22,1.1074139614873299e+22,1.4128069308369655e+23
current-to-best1bin,Zakharov,500,SA,False,1.538122607450211e+23,1.538122607450211e+23,1.538122607450211e+23,1.538122607450211e+23,1.538122607450211e+23,0.0
current-to-best1bin,Zakharov,500,SMCO,False,1.2530257290868337e+23,1.2473827839807963e+23,1.247532710469612e+23,1.2477201185806315e+23,1.2473453023585923e+23,2.8509687836337724e+22
current-to-best1bin,Zakharov,500,SMCO_BR,False,7.947977905345289e+22,7.824134224964387e+22,7.82465512072801e+22,7.82530624043254e+22,7.824004001023481e+22,7.43324816915682e+22
current-to-best1bin,Zakharov,500,SMCO_BR_EVO,True,8.054490557151366e+22,7.896709107981453e+22,7.908735684153936e+22,7.923768904369537e+22,7.893702463938334e+22,7.326735517350743e+22
current-to-best1bin,Zakharov,500,SMCO_EVO,True,1.2564853484884617e+23,1.251239916537592e+23,1.2514442597529191e+23,1.2516996887720782e+23,1.2511888307337601e+23,2.816372589617492e+22
current-to-best1bin,Zakharov,500,SMCO_R,False,1.0966824087560668e+23,1.0885889290815352e+23,1.0885891622909346e+23,1.0885894538026836e+23,1.0885888707791853e+23,4.414401986941442e+22
current-to-best1bin,Zakharov,500,SMCO_R_EVO,True,1.098959045083418e+23,1.0926577383048e+23,1.0930971974127823e+23,1.0936465212977605e+23,1.0925478735278043e+23,4.3916356236679294e+22
rand1bin,Ackley,100,ADAM,False,21.995917549968397,21.923628427994103,21.93169847365821,21.948894239312406,21.92161091657808,0.28829538983887204
rand1bin,Ackley,100,BOBYQA,False,21.967177999030817,21.90041746349289,21.908998889523044,21.921573426759903,21.898272106985353,0.3170349407764519
