strategy,dim,algo,mean_fopt,mean_time,fopt_per_second,is_evo
best1bin,3000,GenSA,809948833.5919352,1169.5938233461154,692504.3698287801,False
best1bin,3000,PSO,522609747.02768564,2.6077471593162045,200406601.9823497,False
best1bin,3000,SA,530270949.977163,660.5815746545171,802733.4856478455,False
best1bin,3000,SMCO,413269638.83906555,8144.698796519195,50740.93581160851,False
best1bin,3000,SMCO_BR,286603582.3155094,8119.99766024369,35296.017844777074,False
best1bin,3000,SMCO_BR_EVO,318458336.4784633,8303.471840052594,38352.43168313631,True
best1bin,3000,SMCO_EVO,413157069.15107197,8327.339983763677,49614.53116560985,True
best1bin,3000,SMCO_R,364796401.8732118,8010.939970613846,45537.27817351987,False
best1bin,3000,SMCO_R_EVO,378460211.08832234,8049.976863702022,47013.825939653216,True
best1bin,4000,DEoptim,190278912.60028255,29434.573103454895,6464.469925604203,False
best1bin,4000,GA,227154869.61625004,7.883906811165313,28812475.217813298,False
best1bin,4000,GenSA,1079989284.5121896,1794.9174060426496,601693.0254709044,False
best1bin,4000,PSO,693515297.9676373,3.456899984196449,200617692.4811563,False
best1bin,4000,SA,724814011.8133167,978.1314684653577,741019.0093878851,False
best1bin,4000,SMCO,533908381.0375383,15799.2887329238,33793.190950738055,False
best1bin,4000,SMCO_BR,363906468.4706586,16042.056841227886,22684.52680802274,False
best1bin,4000,SMCO_BR_EVO,424695165.1691051,16169.967032806211,26264.442240820175,True
best1bin,4000,SMCO_EVO,535956703.5076034,16060.337762033489,33371.44656911269,True
best1bin,4000,SMCO_R,466499808.8275792,15617.38795329452,29870.539825398275,False
best1bin,4000,SMCO_R_EVO,483246850.2551479,15791.623971259998,30601.46639349025,True
best1bin,5000,DEoptim,234644004.05483338,56743.096226632166,4135.199163571622,False
best1bin,5000,GA,287988719.55862665,9.741892968886532,29561884.99282423,False
best1bin,5000,GenSA,1350029735.648033,3374.2346199372164,400099.54484823364,False
best1bin,5000,PSO,869134807.0638504,5.106801575476614,170191614.89209315,False
best1bin,5000,SA,907018759.5874871,1574.0186784118025,576243.9620492156,False
best1bin,5000,SMCO,651368132.6230133,33401.40280049329,19501.22084732901,False
best1bin,5000,SMCO_BR,439473124.63467926,33950.267923898995,12944.614328811113,False
best1bin,5000,SMCO_BR_EVO,510099294.7084691,37255.524132376384,13691.910302911952,True
best1bin,5000,SMCO_EVO,681345931.6121951,35846.70266557555,19007.21352166396,True
best1bin,5000,SMCO_R,566572298.5185766,33669.42811486847,16827.49990839249,False
best1bin,5000,SMCO_R_EVO,589548973.1113757,34687.30726843766,16996.100866203946,True
current-to-best1bin,50,ADAM,79799118228629.88,6.281005139688496,12704832499561.922,False
current-to-best1bin,50,BOBYQA,230033122706707.9,84.22532484483905,2731163377885.1885,False
current-to-best1bin,50,DEoptim,220957235678684.16,31.762495450214484,6956545213049.124,False
current-to-best1bin,50,GA,302590611597332.2,0.9929647954273969,304734481011574.6,False
current-to-best1bin,50,GD,330332094182153.75,3.0481114984769375,108372706952226.7,False
current-to-best1bin,50,GenSA,330332096205851.94,3.2085325032495895,102954262071926.3,False
