strategy,evo_algo,baseline,func,dim,n,evo_wins,baseline_wins,evo_win_rate,evo_mean,baseline_mean
best1bin,SMCO_EVO,PSO,Rastrigin,1000,5,2,3,40.0,29109.53341967424,29165.330598182743
best1bin,SMCO_EVO,PSO,Rastrigin,200,10,10,0,100.0,6337.65098984277,5904.816257447588
best1bin,SMCO_EVO,PSO,Rastrigin,2000,3,0,3,0.0,57883.29476627168,58152.53797892792
best1bin,SMCO_EVO,PSO,Rastrigin,3000,2,0,2,0.0,86028.14017521989,87035.34159179099
best1bin,SMCO_EVO,PSO,Rastrigin,4000,2,0,2,0.0,114314.91250137634,115988.19110691891
best1bin,SMCO_EVO,PSO,Rastrigin,50,20,20,0,100.0,1713.53951530713,1513.6642874508077
best1bin,SMCO_EVO,PSO,Rastrigin,500,5,5,0,100.0,14779.682412667544,14588.071204041513
best1bin,SMCO_EVO,PSO,Rastrigin,5000,2,0,2,0.0,142432.29777746001,144957.97011654064
best1bin,SMCO_EVO,PSO,Rosenbrock,100,15,3,12,20.0,54780042.29941387,58428327.0
best1bin,SMCO_EVO,PSO,Rosenbrock,1000,5,0,5,0.0,463443829.07431805,532788129.0
best1bin,SMCO_EVO,PSO,Rosenbrock,200,10,0,10,0.0,103140206.49786988,114019960.5
best1bin,SMCO_EVO,PSO,Rosenbrock,2000,3,0,3,0.0,869037289.3809952,1038838524.0
best1bin,SMCO_EVO,PSO,Rosenbrock,3000,2,0,2,0.0,1239385157.2331452,1567742184.0
best1bin,SMCO_EVO,PSO,Rosenbrock,4000,2,0,2,0.0,1607755773.5210905,2080429884.0
best1bin,SMCO_EVO,PSO,Rosenbrock,50,20,4,16,20.0,28787769.693364054,30841751.25
best1bin,SMCO_EVO,PSO,Rosenbrock,500,5,0,5,0.0,243705721.84840137,275462037.0
best1bin,SMCO_EVO,PSO,Rosenbrock,5000,2,0,2,0.0,2043895340.43962,2607259441.5
best1bin,SMCO_EVO,PSO,Zakharov,100,15,15,0,100.0,3.73584180255514e+17,1.3786539842246278e+17
best1bin,SMCO_EVO,PSO,Zakharov,200,10,10,0,100.0,8.921407920290213e+19,1.881315786450292e+19
best1bin,SMCO_EVO,PSO,Zakharov,50,20,20,0,100.0,1552340893079979.8,853915058111519.9
best1bin,SMCO_EVO,PSO,Zakharov,500,5,5,0,100.0,1.255249685333479e+23,1.2531567661324549e+22
best1bin,SMCO_EVO,GD,Ackley,100,15,15,0,100.0,22.14155916807938,21.996070927635813
best1bin,SMCO_EVO,GD,Ackley,200,10,10,0,100.0,22.110580184015916,21.98502133493387
best1bin,SMCO_EVO,GD,Ackley,50,20,20,0,100.0,22.162611203958978,22.016107988046617
best1bin,SMCO_EVO,GD,Griewank,100,15,15,0,100.0,8741.07681690497,4318.531612684141
best1bin,SMCO_EVO,GD,Griewank,200,10,10,0,100.0,17224.22871924248,8478.375474099297
best1bin,SMCO_EVO,GD,Griewank,50,20,20,0,100.0,4400.544985503508,2250.8181772810317
best1bin,SMCO_EVO,GD,Rastrigin,100,15,15,0,100.0,3261.576605448482,2902.6926104235413
best1bin,SMCO_EVO,GD,Rastrigin,200,10,10,0,100.0,6337.65098984277,5797.965839814179
best1bin,SMCO_EVO,GD,Rastrigin,50,20,20,0,100.0,1713.53951530713,1457.8813857491364
best1bin,SMCO_EVO,GD,Rosenbrock,100,15,1,14,6.666666666666667,54780042.29941387,57996234.0
best1bin,SMCO_EVO,GD,Rosenbrock,200,10,0,10,0.0,103140206.49786988,113610348.0
best1bin,SMCO_EVO,GD,Rosenbrock,50,20,1,19,5.0,28787769.693364054,29870788.5
best1bin,SMCO_EVO,GD,Zakharov,100,15,0,15,0.0,3.73584180255514e+17,4.064859420438224e+17
best1bin,SMCO_EVO,GD,Zakharov,200,10,0,10,0.0,8.921407920290213e+19,1.020150500726003e+20
best1bin,SMCO_EVO,GD,Zakharov,50,20,0,20,0.0,1552340893079979.8,1651660441036249.5
best1bin,SMCO_EVO,SignGD,Ackley,100,15,15,0,100.0,22.14155916807938,21.9938398998415
best1bin,SMCO_EVO,SignGD,Ackley,200,10,10,0,100.0,22.110580184015916,21.98372281301656
best1bin,SMCO_EVO,SignGD,Ackley,50,20,20,0,100.0,22.162611203958978,22.01465884255967
best1bin,SMCO_EVO,SignGD,Griewank,100,15,15,0,100.0,8741.07681690497,3641.5841157428863
best1bin,SMCO_EVO,SignGD,Griewank,200,10,10,0,100.0,17224.22871924248,7180.128094227461
best1bin,SMCO_EVO,SignGD,Griewank,50,20,20,0,100.0,4400.544985503508,1903.0286013502305
best1bin,SMCO_EVO,SignGD,Rastrigin,100,15,15,0,100.0,3261.576605448482,2949.962384618055
best1bin,SMCO_EVO,SignGD,Rastrigin,200,10,10,0,100.0,6337.65098984277,5835.869471709941
best1bin,SMCO_EVO,SignGD,Rastrigin,50,20,20,0,100.0,1713.53951530713,1495.1169950216295
best1bin,SMCO_EVO,SignGD,Rosenbrock,100,15,11,4,73.33333333333333,54780042.29941387,53284748.33492387
best1bin,SMCO_EVO,SignGD,Rosenbrock,200,10,5,5,50.0,103140206.49786988,102750654.84401383
best1bin,SMCO_EVO,SignGD,Rosenbrock,50,20,17,3,85.0,28787769.693364054,27047836.990695994
best1bin,SMCO_EVO,SignGD,Zakharov,100,15,0,15,0.0,3.73584180255514e+17,4.064859420438224e+17
best1bin,SMCO_EVO,SignGD,Zakharov,200,10,0,10,0.0,8.921407920290213e+19,1.020150500726003e+20
best1bin,SMCO_EVO,SignGD,Zakharov,50,20,0,20,0.0,1552340893079979.8,1651660441036249.5
best1bin,SMCO_EVO,ADAM,Ackley,100,15,15,0,100.0,22.14155916807938,21.995917549968397
best1bin,SMCO_EVO,ADAM,Ackley,200,10,10,0,100.0,22.110580184015916,21.984948895509298
best1bin,SMCO_EVO,ADAM,Ackley,50,20,20,0,100.0,22.162611203958978,22.016121221635125
best1bin,SMCO_EVO,ADAM,Griewank,100,15,15,0,100.0,8741.07681690497,3464.147045545212
best1bin,SMCO_EVO,ADAM,Griewank,200,10,10,0,100.0,17224.22871924248,6823.042271976459
best1bin,SMCO_EVO,ADAM,Griewank,50,20,20,0,100.0,4400.544985503508,1812.4027648920778
best1bin,SMCO_EVO,ADAM,Rastrigin,100,15,15,0,100.0,3261.576605448482,2957.4168410296193
best1bin,SMCO_EVO,ADAM,Rastrigin,200,10,10,0,100.0,6337.65098984277,5857.175238431582
best1bin,SMCO_EVO,ADAM,Rastrigin,50,20,20,0,100.0,1713.53951530713,1497.59990183252
best1bin,SMCO_EVO,ADAM,Rosenbrock,100,15,15,0,100.0,54780042.29941387,45450527.51475112
best1bin,SMCO_EVO,ADAM,Rosenbrock,200,10,10,0,100.0,103140206.49786988,88888122.33250095
best1bin,SMCO_EVO,ADAM,Rosenbrock,50,20,20,0,100.0,28787769.693364054,23710820.008628882
best1bin,SMCO_EVO,ADAM,Zakharov,100,15,15,0,100.0,3.73584180255514e+17,8.880945320640266e+16
best1bin,SMCO_EVO,ADAM,Zakharov,200,10,10,0,100.0,8.921407920290213e+19,2.076356603334561e+19
best1bin,SMCO_EVO,ADAM,Zakharov,50,20,20,0,100.0,1552340893079979.8,398995567428997.3
best1bin,SMCO_EVO,SPSA,Ackley,100,15,15,0,100.0,22.14155916807938,21.522155498683365
best1bin,SMCO_EVO,SPSA,Ackley,200,10,10,0,100.0,22.110580184015916,21.45946628326309
best1bin,SMCO_EVO,SPSA,Ackley,50,20,20,0,100.0,22.162611203958978,21.673553842872963
best1bin,SMCO_EVO,SPSA,Griewank,100,15,15,0,100.0,8741.07681690497,3418.8544324324453
best1bin,SMCO_EVO,SPSA,Griewank,200,10,10,0,100.0,17224.22871924248,6734.352114533676
best1bin,SMCO_EVO,SPSA,Griewank,50,20,20,0,100.0,4400.544985503508,1789.1798974678936
best1bin,SMCO_EVO,SPSA,Rastrigin,100,15,13,2,86.66666666666667,3261.576605448482,3171.268158473069
best1bin,SMCO_EVO,SPSA,Rastrigin,200,10,0,10,0.0,6337.65098984277,6811.7821526910075
best1bin,SMCO_EVO,SPSA,Rastrigin,50,20,19,1,95.0,1713.53951530713,1508.8629762996293
best1bin,SMCO_EVO,SPSA,Rosenbrock,100,15,0,15,0.0,54780042.29941387,62819103.0
best1bin,SMCO_EVO,SPSA,Rosenbrock,200,10,0,10,0.0,103140206.49786988,120061597.5
best1bin,SMCO_EVO,SPSA,Rosenbrock,50,20,0,20,0.0,28787769.693364054,33023281.5
best1bin,SMCO_EVO,SPSA,Zakharov,100,15,15,0,100.0,3.73584180255514e+17,4.0491194738154456e+16
best1bin,SMCO_EVO,SPSA,Zakharov,200,10,10,0,100.0,8.921407920290213e+19,5.61846952147701e+18
best1bin,SMCO_EVO,SPSA,Zakharov,50,20,20,0,100.0,1552340893079979.8,371549039166977.9
best1bin,SMCO_EVO,optimLBFGS,Ackley,100,15,15,0,100.0,22.14155916807938,21.99607926083114
best1bin,SMCO_EVO,optimLBFGS,Ackley,200,10,10,0,100.0,22.110580184015916,21.985023213836577
best1bin,SMCO_EVO,optimLBFGS,Ackley,50,20,20,0,100.0,22.162611203958978,22.015419090037362
best1bin,SMCO_EVO,optimLBFGS,Griewank,100,15,15,0,100.0,8741.07681690497,6051.517985300458
best1bin,SMCO_EVO,optimLBFGS,Griewank,200,10,10,0,100.0,17224.22871924248,8309.999512656617
best1bin,SMCO_EVO,optimLBFGS,Griewank,50,20,0,20,0.0,4400.544985503508,4501.0
best1bin,SMCO_EVO,optimLBFGS,Rastrigin,100,15,15,0,100.0,3261.576605448482,2896.345516551151
best1bin,SMCO_EVO,optimLBFGS,Rastrigin,200,10,10,0,100.0,6337.65098984277,5798.86926139219
best1bin,SMCO_EVO,optimLBFGS,Rastrigin,50,20,20,0,100.0,1713.53951530713,1451.9611968788504
best1bin,SMCO_EVO,optimLBFGS,Rosenbrock,100,15,1,14,6.666666666666667,54780042.29941387,58029237.0
best1bin,SMCO_EVO,optimLBFGS,Rosenbrock,200,10,0,10,0.0,103140206.49786988,113682352.5
best1bin,SMCO_EVO,optimLBFGS,Rosenbrock,50,20,1,19,5.0,28787769.693364054,29931543.0
best1bin,SMCO_EVO,optimLBFGS,Zakharov,100,15,0,15,0.0,3.73584180255514e+17,4.064859420438224e+17
best1bin,SMCO_EVO,optimLBFGS,Zakharov,200,10,0,10,0.0,8.921407920290213e+19,1.020150500726003e+20
best1bin,SMCO_EVO,optimLBFGS,Zakharov,50,20,0,20,0.0,1552340893079979.8,1651660441036249.5
best1bin,SMCO_EVO,BOBYQA,Ackley,100,15,15,0,100.0,22.14155916807938,21.967177999030817
best1bin,SMCO_EVO,BOBYQA,Ackley,200,10,10,0,100.0,22.110580184015916,21.814960401591946
best1bin,SMCO_EVO,BOBYQA,Ackley,50,20,20,0,100.0,22.162611203958978,22.01231105787293
best1bin,SMCO_EVO,BOBYQA,Griewank,100,15,0,15,0.0,8741.07681690497,9001.000000000051
best1bin,SMCO_EVO,BOBYQA,Griewank,200,10,0,10,0.0,17224.22871924248,18001.000000000222
best1bin,SMCO_EVO,BOBYQA,Griewank,50,20,0,20,0.0,4400.544985503508,4501.000000000015
best1bin,SMCO_EVO,BOBYQA,Rastrigin,100,15,15,0,100.0,3261.576605448482,2883.366582842886
best1bin,SMCO_EVO,BOBYQA,Rastrigin,200,10,10,0,100.0,6337.65098984277,5187.145941576514
best1bin,SMCO_EVO,BOBYQA,Rastrigin,50,20,20,0,100.0,1713.53951530713,1488.1734706406587
best1bin,SMCO_EVO,BOBYQA,Rosenbrock,100,15,3,12,20.0,54780042.29941387,56224390.06931541
best1bin,SMCO_EVO,BOBYQA,Rosenbrock,200,10,10,0,100.0,103140206.49786988,92167514.63310555
