strategy,variant,base_algo,evo_algo,func,dim,improve_pct,win_rate,n
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Ackley,5000,1.7787169350718053,100.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Griewank,100,0.03130388036815744,66.66666666666666,15
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Griewank,200,-0.0491957597815151,30.0,10
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Griewank,50,-0.02564388785735173,50.0,20
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,100,0.020271940908002543,53.333333333333336,15
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,1000,-3.501207180011239e-05,40.0,5
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,200,-3.1641880053862396e-05,50.0,10
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,2000,0.024442891524909763,66.66666666666666,3
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,3000,0.030719985687453804,50.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,4000,0.00502631131802202,50.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,50,0.04665597933144893,55.00000000000001,20
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,500,-1.3703008467220825e-05,60.0,5
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rastrigin,5000,0.02005841385396837,50.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,100,-0.002569450698396805,46.666666666666664,15
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,1000,-0.012584691224907475,40.0,5
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,200,0.3877179360370537,30.0,10
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,2000,0.006212795948643959,66.66666666666666,3
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,3000,1.4852003426514908,100.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,4000,2.411574278831267,100.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,50,0.01446666833449103,55.00000000000001,20
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,500,0.04189540825358968,100.0,5
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Rosenbrock,5000,4.004501413746169,100.0,2
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,100,0.3464152534772695,66.66666666666666,15
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,200,0.6896343553216197,100.0,10
current-to-best1bin,R,SMCO_R,SMCO_R_EVO,Zakharov,50,0.6665792360764646,95.0,20
