strategy,pair,base_algo,evo_algo,func,dim,n_reps,base_mean,evo_mean,improve_pct,evo_wins,base_wins,ties,win_rate,wilcoxon_p,significant_005
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Griewank,200,10,15582.821648537065,15606.131335277043,0.149585789183222,7,3,0,70.0,0.375,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Griewank,50,20,4161.670565996322,4160.607519261439,-0.02554375023262679,10,10,0,50.0,0.40909767150878906,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,100,15,3259.3106226103496,3261.2838911405443,0.06054251216517381,9,6,0,60.0,0.30279541015625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,1000,5,29126.310254371823,29125.55358527581,-0.0025978886079415834,3,2,0,60.0,0.8125,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,200,10,6336.63125564698,6336.711421792165,0.0012651224594087279,7,3,0,70.0,0.76953125,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,2000,3,57911.78566871155,57911.57064659148,-0.00037129250564273234,1,2,0,33.33333333333333,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,3000,2,86027.36301720096,86031.64588793849,0.004978498221169264,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,4000,2,114314.06385418148,114319.86604742098,0.00507566002280574,1,1,0,50.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,50,20,1713.6892572955308,1713.201467752166,-0.02846429370366002,11,9,0,55.00000000000001,0.7285060882568359,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,500,5,14784.424196097865,14784.72336393406,0.0020235339045064893,2,3,0,40.0,0.8125,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,5000,2,142460.14573842997,142458.4895438425,-0.0011625669613674905,1,1,0,50.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,100,15,47986687.78786815,48362434.75989135,0.7830233536522586,13,2,0,86.66666666666667,0.0006103515625,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,1000,5,348193067.76848793,372046389.76400423,6.8506022099717025,5,0,0,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,200,10,87336134.89183861,90204671.6443634,3.28447870526596,10,0,0,100.0,0.001953125,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,2000,3,618155929.2741712,685824638.2370745,10.946867247938359,3,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,3000,2,859724697.6735848,955288955.6197197,11.115681357617365,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,4000,2,1091605069.4387069,1273971153.476194,16.706232789048695,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,50,20,25826421.53841371,26589262.67881824,2.9537237254100224,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,500,5,194451615.14885083,203191321.91407928,4.49454058714724,5,0,0,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,5000,2,1318276891.8457017,1530155403.464967,16.07238304258046,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,100,15,3.007640369869115e+17,3.0560302856305363e+17,1.6088996625459995,15,0,0,100.0,6.103515625e-05,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,200,10,6.463198018702149e+19,6.5499903812275495e+19,1.3428702365957947,10,0,0,100.0,0.001953125,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,50,20,1302651618260598.8,1326654041450706.8,1.8425819193437072,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,500,5,7.947977905345289e+22,7.997779138805418e+22,0.6265899836817133,5,0,0,100.0,0.0625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,100,15,21.535213676492056,22.114090433550665,2.6880474266689705,15,0,0,100.0,6.103515625e-05,1
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,1000,5,21.356747941768013,22.0873450658542,3.4209193556915,5,0,0,100.0,0.0625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,200,10,21.418222373910474,22.099522129390447,3.180935110235216,10,0,0,100.0,0.001953125,1
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,2000,3,21.412231167680464,22.08847638848768,3.1582193163874464,3,0,0,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,3000,2,21.532214189963604,22.032317199690624,2.3225805080469786,2,0,0,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,4000,2,21.664995317854874,22.06464569086828,1.84468248042518,2,0,0,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,50,20,21.636996277748196,22.15062549222014,2.373847126831407,20,0,0,100.0,1.9073486328125e-06,1
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,500,5,21.367733334983296,22.083419985599527,3.349380298772764,5,0,0,100.0,0.0625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,5000,2,21.697044955860562,22.060942772029435,1.6771768547706338,2,0,0,100.0,nan,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Griewank,100,15,8740.096300027286,8741.076816904968,0.011218604967532908,8,7,0,53.333333333333336,0.389404296875,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Griewank,200,10,17226.592423761675,17224.22871924248,-0.013721254099755453,5,5,0,50.0,0.556640625,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Griewank,50,20,4400.892005055721,4400.2584367756845,-0.014396360540283723,9,11,0,45.0,0.20244979858398438,0
current-to-best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,100,15,3268.528225672207,3261.576605448482,-0.21268349984327836,2,13,0,13.333333333333334,0.012451171875,1
