strategy,pair,func,dim,quality_gain_pct,time_overhead_pct,benefit_cost_ratio,base_mean_time,evo_mean_time,base_mean_fopt,evo_mean_fopt
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,200,3.180935110235216,13.872389751743583,0.22929972176101907,67.84742499648128,77.25948422851506,21.418222373910474,22.099522129390447
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,3.1582193163874464,0.863838947130194,3.6560279284460804,5351.775981579053,5398.006706871092,21.412231167680464,22.08847638848768
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,2.3225805080469786,0.7779015865077571,2.985699667323944,11775.639769882546,11867.2426584739,21.532214189963604,22.032317199690624
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,1.84468248042518,1.3042794011444778,1.4143307628768114,22450.301969966386,22743.11663405539,21.664995317854874,22.06464569086828
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,50,2.373847126831374,-0.02450187161173764,-96.88431824506748,8.605257004965097,8.60314855594188,21.6369962777482,22.150625492220136
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,500,3.349380298772797,0.3990939040778811,8.392461685205753,353.37255452359096,354.7828428473789,21.367733334983292,22.08341998559953
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,1.6771768547706338,1.766676518487246,0.9493400954956666,38705.71799446293,39389.522825583,21.697044955860562,22.060942772029435
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,100,0.01121860496755372,2.328280206794546,0.004818408426449198,14.979556674867247,15.328322727993752,8740.096300027286,8741.07681690497
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,200,-0.013721254099776571,8.840896535068708,-0.001552020662763014,50.581421316601336,55.05327244116925,17226.59242376168,17224.22871924248
current-to-best1bin,SMCO_vs_SMCO_EVO,Griewank,50,-0.014396360540283717,2.315752639729525,-0.006216709113614648,6.06933756886283,6.2098884138278665,4400.892005055723,4400.258436775686
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,100,-0.21268349984329224,-1.4270089229486498,0.14904146457880665,13.297318378758307,13.107564458980535,3268.5282256722076,3261.576605448482
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,-0.0014866045489453099,-0.581533852963566,0.0025563508321474245,1019.81820056336,1013.8876124884002,29109.966169755517,29109.53341967424
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,200,-0.0007433087526116615,-6.106628353360802,0.00012172162928542708,46.15114816019777,43.33286906124558,6337.698098507451,6337.65098984277
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.0033514004141492492,-4.287733563204898,-0.0007816251557487681,4748.039796896977,4544.4565009311,57881.35493030282,57883.29476627167
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.008138208594655123,2.6227474000881204,0.003102932670672628,9528.93777489895,9778.857742646127,86021.13959544411,86028.14017521989
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.003897918040931683,8.932549027689312,0.00043637242055418124,17899.107925232034,19497.95451617241,114310.4567734591,114314.91250137634
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,50,0.10684140853930382,1.7197316485708936,0.062126790902574607,4.743839011981618,4.8254203128279185,1711.627471922306,1713.4561988222536
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,500,-0.0011463584539796153,0.5482934496163956,-0.0020907753955142923,250.2549224854447,251.62705383277498,14779.85184274863,14779.682412667546
