strategy,algo_a,algo_b,a_wins,b_wins,total,a_win_rate,b_win_rate
current-to-best1bin,GenSA,optimLBFGS,160,0,225,71.11111111111111,0.0
current-to-best1bin,GenSA,optimNM,225,0,225,100.0,0.0
current-to-best1bin,PSO,SA,69,173,287,24.041811846689896,60.278745644599304
current-to-best1bin,PSO,SMCO,179,108,287,62.36933797909408,37.63066202090592
current-to-best1bin,PSO,SMCO_BR,147,140,287,51.21951219512195,48.78048780487805
current-to-best1bin,PSO,SMCO_BR_EVO,122,165,287,42.508710801393725,57.491289198606275
current-to-best1bin,PSO,SMCO_EVO,117,170,287,40.76655052264808,59.23344947735192
current-to-best1bin,PSO,SMCO_R,149,138,287,51.91637630662021,48.08362369337979
current-to-best1bin,PSO,SMCO_R_EVO,118,169,287,41.11498257839721,58.88501742160279
current-to-best1bin,PSO,SPSA,152,73,225,67.55555555555556,32.44444444444444
current-to-best1bin,PSO,SignGD,149,76,225,66.22222222222223,33.77777777777778
current-to-best1bin,PSO,optimLBFGS,129,76,225,57.333333333333336,33.77777777777778
current-to-best1bin,PSO,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SA,SMCO,258,29,287,89.89547038327527,10.104529616724738
current-to-best1bin,SA,SMCO_BR,256,31,287,89.19860627177701,10.801393728222997
current-to-best1bin,SA,SMCO_BR_EVO,217,70,287,75.60975609756098,24.390243902439025
current-to-best1bin,SA,SMCO_EVO,199,88,287,69.33797909407666,30.66202090592334
current-to-best1bin,SA,SMCO_R,249,38,287,86.7595818815331,13.240418118466899
current-to-best1bin,SA,SMCO_R_EVO,204,83,287,71.0801393728223,28.9198606271777
current-to-best1bin,SA,SPSA,180,45,225,80.0,20.0
current-to-best1bin,SA,SignGD,156,22,225,69.33333333333334,9.777777777777779
current-to-best1bin,SA,optimLBFGS,108,49,225,48.0,21.777777777777775
current-to-best1bin,SA,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO,SMCO_BR,190,97,287,66.2020905923345,33.79790940766551
current-to-best1bin,SMCO,SMCO_BR_EVO,189,98,287,65.85365853658537,34.146341463414636
current-to-best1bin,SMCO,SMCO_EVO,105,182,287,36.58536585365854,63.41463414634146
current-to-best1bin,SMCO,SMCO_R,176,111,287,61.32404181184668,38.67595818815331
current-to-best1bin,SMCO,SMCO_R_EVO,174,113,287,60.62717770034843,39.37282229965157
current-to-best1bin,SMCO,SPSA,137,88,225,60.88888888888889,39.111111111111114
current-to-best1bin,SMCO,SignGD,121,104,225,53.77777777777778,46.22222222222222
current-to-best1bin,SMCO,optimLBFGS,71,154,225,31.555555555555554,68.44444444444444
current-to-best1bin,SMCO,optimNM,186,39,225,82.66666666666667,17.333333333333336
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,81,206,287,28.222996515679444,71.77700348432056
current-to-best1bin,SMCO_BR,SMCO_EVO,30,257,287,10.452961672473867,89.54703832752612
current-to-best1bin,SMCO_BR,SMCO_R,44,243,287,15.33101045296167,84.66898954703834
current-to-best1bin,SMCO_BR,SMCO_R_EVO,10,277,287,3.484320557491289,96.51567944250871
current-to-best1bin,SMCO_BR,SPSA,166,59,225,73.77777777777777,26.222222222222225
current-to-best1bin,SMCO_BR,SignGD,126,99,225,56.00000000000001,44.0
current-to-best1bin,SMCO_BR,optimLBFGS,99,126,225,44.0,56.00000000000001
current-to-best1bin,SMCO_BR,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO_BR_EVO,SMCO_EVO,95,192,287,33.10104529616725,66.89895470383276
current-to-best1bin,SMCO_BR_EVO,SMCO_R,78,209,287,27.177700348432055,72.82229965156795
current-to-best1bin,SMCO_BR_EVO,SMCO_R_EVO,51,236,287,17.770034843205575,82.22996515679442
