strategy,func,dim,algo,rank,mean_fopt,total_methods
best1bin,Rastrigin,200,optimNM,18,4057.7705127035515,18
best1bin,Rastrigin,2000,GenSA,1,80706.5803872955,11
best1bin,Rastrigin,2000,PSO,2,58152.53797892792,11
best1bin,Rastrigin,2000,SMCO_R_EVO,3,57943.735655981036,11
best1bin,Rastrigin,2000,SMCO_R,4,57929.57599256033,11
best1bin,Rastrigin,2000,SMCO_BR,5,57911.78566871155,11
best1bin,Rastrigin,2000,SMCO_BR_EVO,6,57911.57064659148,11
best1bin,Rastrigin,2000,SMCO_EVO,7,57883.29476627168,11
best1bin,Rastrigin,2000,SMCO,8,57881.35493030282,11
best1bin,Rastrigin,2000,SA,9,57849.4274515718,11
best1bin,Rastrigin,2000,GA,10,39985.966625601664,11
best1bin,Rastrigin,2000,DEoptim,11,39049.42474348234,11
best1bin,Rastrigin,3000,GenSA,1,121059.87040453288,11
best1bin,Rastrigin,3000,PSO,2,87035.34159179099,11
best1bin,Rastrigin,3000,SA,3,86781.56655992431,11
best1bin,Rastrigin,3000,SMCO_R_EVO,4,86094.5555976759,11
best1bin,Rastrigin,3000,SMCO_R,5,86068.11548491748,11
best1bin,Rastrigin,3000,SMCO_BR_EVO,6,86031.64588793849,11
best1bin,Rastrigin,3000,SMCO_EVO,7,86028.14017521989,11
best1bin,Rastrigin,3000,SMCO_BR,8,86027.36301720096,11
best1bin,Rastrigin,3000,SMCO,9,86021.13959544411,11
best1bin,Rastrigin,3000,GA,10,59470.21118374476,11
best1bin,Rastrigin,3000,DEoptim,11,57968.501820506805,11
best1bin,Rastrigin,4000,GenSA,1,161412.67179774528,11
best1bin,Rastrigin,4000,PSO,2,115988.19110691891,11
best1bin,Rastrigin,4000,SA,3,115692.09726627979,11
best1bin,Rastrigin,4000,SMCO_R_EVO,4,114380.51305935602,11
best1bin,Rastrigin,4000,SMCO_R,5,114374.76422763668,11
best1bin,Rastrigin,4000,SMCO_BR_EVO,6,114319.86604742098,11
best1bin,Rastrigin,4000,SMCO_EVO,7,114314.91250137634,11
best1bin,Rastrigin,4000,SMCO_BR,8,114314.06385418148,11
best1bin,Rastrigin,4000,SMCO,9,114310.4567734591,11
best1bin,Rastrigin,4000,DEoptim,10,77000.13010232343,11
best1bin,Rastrigin,4000,GA,11,76768.81248488357,11
best1bin,Rastrigin,50,GenSA,1,2017.6645096911584,18
best1bin,Rastrigin,50,SA,2,2016.6594088317984,18
best1bin,Rastrigin,50,SMCO_BR,3,1713.6892572955312,18
best1bin,Rastrigin,50,SMCO_EVO,4,1713.53951530713,18
best1bin,Rastrigin,50,SMCO_BR_EVO,5,1713.201467752166,18
best1bin,Rastrigin,50,SMCO_R_EVO,6,1712.2078616511633,18
best1bin,Rastrigin,50,SMCO,7,1711.627471922306,18
best1bin,Rastrigin,50,SMCO_R,8,1711.4007428417149,18
best1bin,Rastrigin,50,GA,9,1677.5070480416975,18
best1bin,Rastrigin,50,PSO,10,1513.6642874508077,18
best1bin,Rastrigin,50,SPSA,11,1508.8629762996293,18
best1bin,Rastrigin,50,ADAM,12,1497.59990183252,18
best1bin,Rastrigin,50,SignGD,13,1495.1169950216295,18
best1bin,Rastrigin,50,BOBYQA,14,1488.1734706406587,18
best1bin,Rastrigin,50,GD,15,1457.8813857491364,18
best1bin,Rastrigin,50,optimLBFGS,16,1451.9611968788504,18
best1bin,Rastrigin,50,DEoptim,17,1319.7630795275386,18
best1bin,Rastrigin,50,optimNM,18,1237.6187289093946,18
best1bin,Rastrigin,500,SA,1,20176.645096911565,11
best1bin,Rastrigin,500,GenSA,2,20176.64509689113,11
best1bin,Rastrigin,500,SMCO_R,3,14794.53924205436,11
best1bin,Rastrigin,500,SMCO_R_EVO,4,14794.53721475739,11
best1bin,Rastrigin,500,SMCO_BR_EVO,5,14784.72336393406,11
best1bin,Rastrigin,500,SMCO_BR,6,14784.424196097865,11
best1bin,Rastrigin,500,SMCO,7,14779.85184274863,11
best1bin,Rastrigin,500,SMCO_EVO,8,14779.682412667544,11
best1bin,Rastrigin,500,PSO,9,14588.071204041513,11
best1bin,Rastrigin,500,GA,10,11268.411567350693,11
best1bin,Rastrigin,500,DEoptim,11,10307.57974086208,11
best1bin,Rastrigin,5000,GenSA,1,201766.21261094167,11
best1bin,Rastrigin,5000,PSO,2,144957.97011654064,11
best1bin,Rastrigin,5000,SA,3,144455.59698672255,11
best1bin,Rastrigin,5000,SMCO_R_EVO,4,142540.83638789976,11
best1bin,Rastrigin,5000,SMCO_R,5,142512.25069086358,11
best1bin,Rastrigin,5000,SMCO_BR,6,142460.14573842997,11
best1bin,Rastrigin,5000,SMCO_BR_EVO,7,142458.4895438425,11
best1bin,Rastrigin,5000,SMCO,8,142458.32504618834,11
best1bin,Rastrigin,5000,SMCO_EVO,9,142432.29777746001,11
best1bin,Rastrigin,5000,DEoptim,10,95772.36984367606,11
best1bin,Rastrigin,5000,GA,11,94743.88053801833,11
best1bin,Rosenbrock,100,GenSA,1,80490519.0,18
best1bin,Rosenbrock,100,SPSA,2,62819103.0,18
best1bin,Rosenbrock,100,PSO,3,58428327.0,18
best1bin,Rosenbrock,100,optimLBFGS,4,58029237.0,18
best1bin,Rosenbrock,100,GD,5,57996234.0,18
best1bin,Rosenbrock,100,BOBYQA,6,56224390.06931541,18
best1bin,Rosenbrock,100,SMCO_EVO,7,54780042.29941387,18
best1bin,Rosenbrock,100,SMCO,8,54630111.708190724,18
best1bin,Rosenbrock,100,SignGD,9,53284748.33492387,18
best1bin,Rosenbrock,100,SA,10,52882416.0,18
best1bin,Rosenbrock,100,SMCO_R_EVO,11,52844982.57099104,18
best1bin,Rosenbrock,100,SMCO_R,12,52616803.95826252,18
best1bin,Rosenbrock,100,SMCO_BR_EVO,13,48362434.75989135,18
best1bin,Rosenbrock,100,SMCO_BR,14,47986687.78786815,18
best1bin,Rosenbrock,100,ADAM,15,45450527.51475112,18
best1bin,Rosenbrock,100,GA,16,45144330.78568907,18
best1bin,Rosenbrock,100,DEoptim,17,28044571.62015562,18
best1bin,Rosenbrock,100,optimNM,18,16771626.491926236,18
best1bin,Rosenbrock,1000,GenSA,1,809563419.0,11
best1bin,Rosenbrock,1000,SA,2,542589309.0,11
best1bin,Rosenbrock,1000,PSO,3,532788129.0,11
best1bin,Rosenbrock,1000,SMCO_EVO,4,463443829.07431805,11
best1bin,Rosenbrock,1000,SMCO,5,463389064.8849098,11
best1bin,Rosenbrock,1000,SMCO_R_EVO,6,431293381.85747737,11
best1bin,Rosenbrock,1000,SMCO_R,7,422712947.97426564,11
best1bin,Rosenbrock,1000,SMCO_BR_EVO,8,372046389.76400423,11
best1bin,Rosenbrock,1000,SMCO_BR,9,348193067.76848793,11
best1bin,Rosenbrock,1000,GA,10,228741053.82543468,11
best1bin,Rosenbrock,1000,DEoptim,11,160936607.22145408,11
best1bin,Rosenbrock,200,GenSA,1,161498619.0,18
best1bin,Rosenbrock,200,SPSA,2,120061597.5,18
best1bin,Rosenbrock,200,PSO,3,114019960.5,18
best1bin,Rosenbrock,200,optimLBFGS,4,113682352.5,18
best1bin,Rosenbrock,200,GD,5,113610348.0,18
best1bin,Rosenbrock,200,SA,6,108594778.5,18
best1bin,Rosenbrock,200,SMCO_EVO,7,103140206.49786988,18
best1bin,Rosenbrock,200,SMCO,8,103124528.56873003,18
best1bin,Rosenbrock,200,SignGD,9,102750654.84401383,18
best1bin,Rosenbrock,200,SMCO_R_EVO,10,99538918.1399662,18
best1bin,Rosenbrock,200,SMCO_R,11,98101461.91474606,18
best1bin,Rosenbrock,200,BOBYQA,12,92167514.63310555,18
best1bin,Rosenbrock,200,SMCO_BR_EVO,13,90204671.64436342,18
