strategy,base_algo,evo_algo,func,dim,n,cohens_d,magnitude
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,200,10,0.27726578925926826,small
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,2000,3,0.09598989411595651,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,3000,2,3.5573945370539426,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,4000,2,0.8794389122209622,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,50,20,0.007493028169262795,negligible
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,500,5,1.3229608533495232,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,5000,2,1.869162731736748,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Zakharov,100,15,0.7777591450403207,medium
current-to-best1bin,SMCO_R,SMCO_R_EVO,Zakharov,200,10,1.3692264346915257,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Zakharov,50,20,1.079791819686477,large
current-to-best1bin,SMCO_R,SMCO_R_EVO,Zakharov,500,5,0.7359611875521551,medium
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,100,15,6.316148034154425,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,1000,5,15.394380482671869,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,200,10,5.88905628307881,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,2000,3,10.271191197920102,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,3000,2,48.17522054760273,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,4000,2,38.710334392772396,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,50,20,3.3798860391476957,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,500,5,9.694296637967948,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Ackley,5000,2,12.761409241162507,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Griewank,100,15,0.2768618204893919,small
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Griewank,200,10,-0.16680530279481018,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Griewank,50,20,-0.2621895215445596,small
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,100,15,0.12958960280390006,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,1000,5,-0.0036061068571519752,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,200,10,0.000865876063019027,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,2000,3,-0.0010314548306748518,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,3000,2,0.09284832365621845,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,4000,2,0.4130650928034165,small
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,50,20,-0.02296659830527973,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,500,5,0.0038208082758462948,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,5000,2,-0.0041215514294124615,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,100,15,0.11580353323047028,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,1000,5,1.1346503136516346,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,200,10,0.4308893503183521,small
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,2000,3,1.121639961367003,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,3000,2,21.81487447830669,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,4000,2,6.107257648282883,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,50,20,-0.00673909329647838,negligible
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,500,5,0.768083889916648,medium
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,5000,2,8.815949185099193,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,100,15,1.0738506237275212,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,200,10,1.4005275435516555,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,50,20,1.1395333244342214,large
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,Zakharov,500,5,2.1121170089154964,large
rand1bin,SMCO,SMCO_EVO,Ackley,100,15,15.029810757583693,large
rand1bin,SMCO,SMCO_EVO,Ackley,1000,5,27.618088396746007,large
rand1bin,SMCO,SMCO_EVO,Ackley,200,10,26.922045181969885,large
rand1bin,SMCO,SMCO_EVO,Ackley,2000,3,99.66478302519253,large
rand1bin,SMCO,SMCO_EVO,Ackley,3000,2,231.06107766485647,large
rand1bin,SMCO,SMCO_EVO,Ackley,4000,2,40.28675357680973,large
rand1bin,SMCO,SMCO_EVO,Ackley,50,20,13.867268894451623,large
rand1bin,SMCO,SMCO_EVO,Ackley,500,5,45.216373183181936,large
rand1bin,SMCO,SMCO_EVO,Ackley,5000,2,152.45896169922358,large
rand1bin,SMCO,SMCO_EVO,Griewank,100,15,0.14916929708464083,negligible
rand1bin,SMCO,SMCO_EVO,Griewank,200,10,-0.19296668124440575,negligible
rand1bin,SMCO,SMCO_EVO,Griewank,50,20,-0.04290405584920075,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,100,15,-0.19683801930393738,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,1000,5,0.0017342401497203279,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,200,10,-0.0007703574270158378,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,2000,3,0.005614029227944399,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,3000,2,0.33719915999217387,small
rand1bin,SMCO,SMCO_EVO,Rastrigin,4000,2,0.013729890241344453,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,50,20,0.06290863292423035,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,500,5,-0.0023333331316795383,negligible
rand1bin,SMCO,SMCO_EVO,Rastrigin,5000,2,-1.094779291724146,large
rand1bin,SMCO,SMCO_EVO,Rosenbrock,100,15,0.003959979612395038,negligible
rand1bin,SMCO,SMCO_EVO,Rosenbrock,1000,5,0.16095358428479262,negligible
rand1bin,SMCO,SMCO_EVO,Rosenbrock,200,10,0.005469368062723966,negligible
rand1bin,SMCO,SMCO_EVO,Rosenbrock,2000,3,-2.298203986875594,large
rand1bin,SMCO,SMCO_EVO,Rosenbrock,3000,2,-1.5471494925352602,large
rand1bin,SMCO,SMCO_EVO,Rosenbrock,4000,2,0.2719519265746689,small
rand1bin,SMCO,SMCO_EVO,Rosenbrock,50,20,0.3318999841217293,small
rand1bin,SMCO,SMCO_EVO,Rosenbrock,500,5,-0.35542768221971466,small
rand1bin,SMCO,SMCO_EVO,Rosenbrock,5000,2,-0.0165026320427362,negligible
rand1bin,SMCO,SMCO_EVO,Zakharov,100,15,0.3947520283699346,small
rand1bin,SMCO,SMCO_EVO,Zakharov,200,10,0.6729089641130267,medium
rand1bin,SMCO,SMCO_EVO,Zakharov,50,20,0.4251862352407971,small
rand1bin,SMCO,SMCO_EVO,Zakharov,500,5,-0.14945249309331357,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,100,15,5.409719488281281,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,1000,5,29.60805163852402,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,200,10,7.687681373606731,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,2000,3,64.56749288541158,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,3000,2,404.7952007134327,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,4000,2,40.27377611470003,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,50,20,3.5426798266461983,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,500,5,12.2218425929973,large
rand1bin,SMCO_R,SMCO_R_EVO,Ackley,5000,2,77.21663442039826,large
rand1bin,SMCO_R,SMCO_R_EVO,Griewank,100,15,0.41620407487904604,small
rand1bin,SMCO_R,SMCO_R_EVO,Griewank,200,10,-0.577729640195047,medium
rand1bin,SMCO_R,SMCO_R_EVO,Griewank,50,20,-0.14363431911327074,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,100,15,0.0159182215234744,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,1000,5,2.118379601403314e-05,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,200,10,5.625312824066124e-05,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,2000,3,7.610779975458106,large
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,3000,2,4.913947555726115,large
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,4000,2,0.03017086373919436,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,50,20,0.018672722821729437,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,500,5,0.00021953510448467022,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rastrigin,5000,2,0.06731244571592904,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,100,15,0.0709055944216768,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,1000,5,-0.04791190011427112,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,200,10,-0.018187802658154954,negligible
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,2000,3,0.9759296878992777,large
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,3000,2,0.6934111436121941,medium
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,4000,2,1.6345558529498623,large
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,50,20,0.4076460639774886,small
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,500,5,0.954393959269536,large
rand1bin,SMCO_R,SMCO_R_EVO,Rosenbrock,5000,2,3.4915621344714047,large
rand1bin,SMCO_R,SMCO_R_EVO,Zakharov,100,15,0.8339861491765775,large
rand1bin,SMCO_R,SMCO_R_EVO,Zakharov,200,10,0.7539612801471753,medium
rand1bin,SMCO_R,SMCO_R_EVO,Zakharov,50,20,0.5440554929924023,medium
rand1bin,SMCO_R,SMCO_R_EVO,Zakharov,500,5,0.5336452880575939,medium
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,100,15,6.61155897102072,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,1000,5,12.797499753633796,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,200,10,5.767611623625523,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,2000,3,56.156618042660774,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,3000,2,81.22658637832455,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,4000,2,14.5342288296648,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,50,20,4.56092341222044,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,500,5,8.989525608925462,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Ackley,5000,2,969.6955755739634,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Griewank,100,15,0.24858524538772217,small
rand1bin,SMCO_BR,SMCO_BR_EVO,Griewank,200,10,-0.162126203915953,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Griewank,50,20,-0.10223322984885184,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,100,15,0.13745500921926918,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,1000,5,-5.045421378321534e-05,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,200,10,0.0055428106122609715,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,2000,3,0.013012002278127913,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,3000,2,12.549889118499442,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,4000,2,0.03467164084043789,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,50,20,-0.013413963486817029,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,500,5,-0.0038027714261000527,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rastrigin,5000,2,-0.003964470735787318,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,100,15,0.07980044733650725,negligible
rand1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,1000,5,1.9646412740071162,large
rand1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,200,10,0.24555981284066583,small
rand1bin,SMCO_BR,SMCO_BR_EVO,Rosenbrock,2000,3,5.324922235217951,large
