strategy,pair,func,dim,improve_pct,base_mean,evo_mean,n_reps
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,200,0.9780406612994823,21.972329805821822,22.187228125557585,10
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,500,0.9745275304752351,21.947773314504367,22.16166040778051,5
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,0.9967029451223106,21.941297712620617,22.15998727312036,5
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,1.0596625864884854,21.92156924412311,22.15386391177425,3
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,1.0911941668515557,21.90992625267647,22.149006089907154,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,1.0536835060634806,21.90941466516003,22.140270553761873,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,1.0927346565501153,21.912597619812423,22.15204416815449,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,50,-0.03761443064513688,4161.670565996321,4160.105177307595,20
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,100,0.03677597443815377,8146.543018494601,8149.538989072676,15
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Griewank,200,-0.022202708130291158,15582.821648537065,15579.361840127976,10
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,50,-0.050394058760580104,1713.6892572955308,1712.8256597242355,20
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,100,0.06054251216514589,3259.31062261035,3261.283891140544,15
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,200,0.0012651224594087279,6336.63125564698,6336.711421792165,10
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,500,0.002023533904518793,14784.424196097863,14784.72336393406,5
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,-0.0025978886079415834,29126.310254371823,29125.55358527581,5
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,-0.00037129250564273234,57911.78566871155,57911.57064659148,3
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.004978498221169264,86027.36301720096,86031.64588793849,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.00507566002280574,114314.06385418148,114319.86604742098,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,-0.0011625669613674905,142460.14573842997,142458.4895438425,2
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,50,-0.008936185080353683,25826421.53841371,25824113.641585406,20
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,100,0.08349720631097632,47986687.78786815,48026755.33157219,15
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,200,1.6205865638225003,87336134.89183861,88751492.55925764,10
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,500,2.0512977952281073,194451615.14885086,198440396.84318468,5
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,3.768299609889046,348193067.76848793,361314025.78286856,5
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,8.040476087462416,618155929.2741712,667858608.950692,3
