experiment,pair,algo,func,dim,rep,fopt,time
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,0,46452598.747647144,5.750236821942963
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,0,46577820.85088361,5.814379261923023
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,1,51613474.810038134,5.833329471992329
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,1,51674268.55795122,6.025686752982438
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,1,53737652.51412162,5.710920364013873
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,1,53822666.5234216,5.889544702018611
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,1,46914347.231795974,5.852397094946355
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,1,47035231.463501945,5.9587061899947
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,2,50242541.48211989,5.862928210990503
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,2,50112968.659002766,5.731697793933563
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,2,52118786.44887078,5.689392942003906
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,2,52031152.78450563,5.766220693010837
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,2,45869700.4586018,5.848899848060682
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,2,46100663.75438768,5.837233706959523
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,3,54871012.52356117,5.8514286070130765
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,3,54847245.24757463,5.670543979038484
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,3,56606776.1699027,5.709927766001783
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,3,56641883.61815352,5.757465432980098
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,3,50767401.45451322,6.038026281981729
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,3,50691332.988001816,6.04304537596181
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,4,52658563.48897073,5.857875476009212
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,4,52607086.60885711,6.004834357067011
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,4,54749113.99416339,5.8761508400784805
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,4,54803106.8999493,5.989143991027959
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,4,48532962.01593649,5.938176744966768
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,4,50224001.56398372,5.827591971959919
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,5,50332877.89268112,5.782770553953014
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,5,50235810.96958642,6.715836902032606
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,5,52457142.15030766,6.21294365497306
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,5,52349402.748678185,5.931007097940892
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,5,45735909.10024711,5.738026984035969
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,5,45729758.45742948,5.731991059030406
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,6,53677831.62495859,5.7413592950906605
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,6,53602856.06135651,5.845065535977483
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,6,55712519.38778621,5.638961013988592
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,6,55699091.8963,5.701775332912803
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,6,49093246.17392722,5.744524620939046
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,6,49075623.402171366,5.858156068949029
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,7,51039822.12102725,5.8483940489823
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,7,51200328.74840622,5.870208160951734
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,7,53175544.8707842,5.893689719028771
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,7,53064828.69969996,5.750123162986711
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,7,46330273.26916411,5.937847291934304
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,7,47634829.46752907,5.944653560989536
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,8,49909469.52918625,5.8495279849739745
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,8,50040638.03922074,5.952227881993167
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,8,52039435.31472801,5.908053628983907
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,8,52005180.13615347,5.820056191063486
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,8,45474941.27974626,5.813115497003309
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,8,45487608.34635567,5.763789464021102
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rosenbrock,100,9,54114541.10790734,5.777316717081703
B,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rosenbrock,100,9,53997507.72131486,5.815393747063354
B,SMCO_vs_SMCO_EVO,SMCO,Rosenbrock,100,9,56327925.48900466,5.798839972936548
B,SMCO_vs_SMCO_EVO,SMCO_EVO,Rosenbrock,100,9,56328046.447959416,5.857912693056278
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,Rosenbrock,100,9,49042991.50633048,5.837891536997631
B,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR_EVO,Rosenbrock,100,9,48881073.115942955,5.843765013967641
