experiment,algo,func,dim,rep,fopt,time,iterations,n_starts
A,SMCO_R,Griewank,50,14,4331.503592536408,4.405054015107453,158,8
A,SMCO_R_EVO,Griewank,50,14,4329.568039772843,4.522052832995541,308,8
A,SMCO_R,Griewank,50,15,4343.704967628434,4.582337981904857,158,8
A,SMCO_R_EVO,Griewank,50,15,4359.599970509015,3.9897862590150908,308,8
A,SMCO_R,Griewank,50,16,4330.569694963187,4.461700663086958,158,8
A,SMCO_R_EVO,Griewank,50,16,4330.529886928903,4.371933969086967,308,8
A,SMCO_R,Griewank,50,17,4348.128848094261,4.48245821299497,158,8
A,SMCO_R_EVO,Griewank,50,17,4352.371686260353,4.540598851046525,308,8
A,SMCO_R,Griewank,50,18,4334.665752287761,4.460229404969141,158,8
A,SMCO_R_EVO,Griewank,50,18,4329.446445186395,4.5300791199551895,308,8
A,SMCO_R,Griewank,50,19,4316.799891972191,4.539751690928824,158,8
A,SMCO_R_EVO,Griewank,50,19,4320.592632570111,4.5010047749383375,308,8
A,SMCO_R,Griewank,50,20,4320.232996184497,4.710585837019607,158,8
A,SMCO_R_EVO,Griewank,50,20,4328.044227884903,4.622805388993584,308,8
A,SMCO_R,Griewank,50,21,4331.207241297765,4.558261194964871,158,8
A,SMCO_R_EVO,Griewank,50,21,4331.239594124436,4.233254999970086,308,8
A,SMCO_R,Griewank,50,22,4340.188720256441,4.448627727921121,158,8
A,SMCO_R_EVO,Griewank,50,22,4331.027382003188,3.8650944919791073,308,8
A,SMCO_R,Griewank,50,23,4349.751200635992,3.4886832559714094,158,8
A,SMCO_R_EVO,Griewank,50,23,4352.605018241975,4.50979568506591,308,8
A,SMCO_R,Griewank,50,24,4330.132356735299,4.567308707977645,158,8
A,SMCO_R_EVO,Griewank,50,24,4329.820439328795,4.57424828899093,308,8
A,SMCO_R,Griewank,50,25,4326.30121428507,4.273582711932249,158,8
A,SMCO_R_EVO,Griewank,50,25,4323.151246137224,3.5957380069885403,308,8
A,SMCO_R,Griewank,50,26,4322.084695885845,3.1225568290101364,158,8
A,SMCO_R_EVO,Griewank,50,26,4320.146637861603,3.6399228509981185,308,8
A,SMCO_R,Griewank,50,27,4330.737669639983,4.07665460195858,158,8
A,SMCO_R_EVO,Griewank,50,27,4326.671697231638,4.501106963958591,308,8
A,SMCO_R,Griewank,50,28,4326.841243351373,4.2705723909894004,158,8
A,SMCO_R_EVO,Griewank,50,28,4323.171957143573,3.9009845859836787,308,8
A,SMCO_R,Griewank,50,29,4325.988772513012,3.8985516709508374,158,8
A,SMCO_R_EVO,Griewank,50,29,4321.066892540304,4.423626908916049,308,8
A,SMCO_R,DixonPrice,50,0,47882184.077118576,3.897135482984595,158,8
A,SMCO_R_EVO,DixonPrice,50,0,47955677.59573154,3.734083855058998,308,8
A,SMCO_R,DixonPrice,50,1,47740785.67187687,3.8810112489154562,158,8
A,SMCO_R_EVO,DixonPrice,50,1,47578416.81957993,3.9376206839224324,308,8
A,SMCO_R,DixonPrice,50,2,47760347.29189495,3.896016384009272,158,8
A,SMCO_R_EVO,DixonPrice,50,2,47671707.27032618,3.93506274104584,308,8
A,SMCO_R,DixonPrice,50,3,48109949.77189328,3.880776004982181,158,8
A,SMCO_R_EVO,DixonPrice,50,3,47966220.697744735,2.8382287069689482,308,8
A,SMCO_R,DixonPrice,50,4,48419400.26659209,3.586214073933661,158,8
A,SMCO_R_EVO,DixonPrice,50,4,48616497.98125533,3.829918864998035,308,8
A,SMCO_R,DixonPrice,50,5,48884636.237425834,3.786278399056755,158,8
A,SMCO_R_EVO,DixonPrice,50,5,48956898.486806795,3.430783381103538,308,8
A,SMCO_R,DixonPrice,50,6,47653270.12828404,3.855088067939505,158,8
A,SMCO_R_EVO,DixonPrice,50,6,47857367.35088861,3.8679759630467743,308,8
A,SMCO_R,DixonPrice,50,7,48370023.70354095,3.8721858739154413,158,8
A,SMCO_R_EVO,DixonPrice,50,7,48417272.44941338,3.406276535941288,308,8
A,SMCO_R,DixonPrice,50,8,48295680.308610946,3.366757886018604,158,8
A,SMCO_R_EVO,DixonPrice,50,8,48438774.7077198,3.825050474028103,308,8
A,SMCO_R,DixonPrice,50,9,48304355.142273456,3.8005858389660716,158,8
A,SMCO_R_EVO,DixonPrice,50,9,48384231.42479691,3.0830144149949774,308,8
A,SMCO_R,DixonPrice,50,10,48819086.64851092,3.7238695829873905,158,8
A,SMCO_R_EVO,DixonPrice,50,10,48643539.42465149,3.867694247048348,308,8
A,SMCO_R,DixonPrice,50,11,48635674.860582575,3.744142188108526,158,8
A,SMCO_R_EVO,DixonPrice,50,11,48720504.034359865,3.4488097080029547,308,8
A,SMCO_R,DixonPrice,50,12,48512765.199670725,2.9249021280556917,158,8
A,SMCO_R_EVO,DixonPrice,50,12,48435998.017789535,3.876251569017768,308,8
A,SMCO_R,DixonPrice,50,13,48601793.84411683,3.7523290519602597,158,8
A,SMCO_R_EVO,DixonPrice,50,13,48659105.50314688,3.7303340119542554,308,8
A,SMCO_R,DixonPrice,50,14,48108650.95634632,3.841609525028616,158,8
A,SMCO_R_EVO,DixonPrice,50,14,47991565.61133937,3.8224760169396177,308,8
A,SMCO_R,DixonPrice,50,15,48994025.336186096,3.781481825048104,158,8
A,SMCO_R_EVO,DixonPrice,50,15,49023097.28355034,3.7872126339934766,308,8
A,SMCO_R,DixonPrice,50,16,48555620.99072176,3.273746710969135,158,8
A,SMCO_R_EVO,DixonPrice,50,16,48455921.79962361,2.548664854024537,308,8
A,SMCO_R,DixonPrice,50,17,48605129.13474517,3.2511274199932814,158,8
A,SMCO_R_EVO,DixonPrice,50,17,48621313.502268136,3.8410900139715523,308,8
A,SMCO_R,DixonPrice,50,18,48106012.24791811,3.8482169549679384,158,8
A,SMCO_R_EVO,DixonPrice,50,18,48199479.580093145,3.0717373370425776,308,8
A,SMCO_R,DixonPrice,50,19,47759757.87203535,3.8943804079899564,158,8
