strategy,pair,func,dim,base_time,evo_time,time_overhead_pct,quality_improve_pct,cost_benefit_ratio
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,38337.98,41768.27,8.95,0.8816,0.0985
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,1681.25,1683.32,0.12,-0.0001,-0.0012
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,6133.33,6257.14,2.02,0.0245,0.0122
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,13892.5,16081.16,15.75,0.028,0.0018
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,26445.66,25474.95,-3.67,0.0065,inf
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,38236.56,33812.72,-11.57,0.0177,inf
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,898.52,860.79,-4.2,-0.0103,inf
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,2217.36,2156.36,-2.75,0.0327,inf
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,4051.58,4527.8,11.75,-0.0098,-0.0008
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,7648.7,6790.26,-11.22,0.0092,inf
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,13527.79,9969.32,-26.3,0.0093,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,2230.31,2285.11,2.46,-0.0046,-0.0019
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,7461.79,7678.72,2.91,0.003,0.001
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,15345.12,14360.5,-6.42,0.0213,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,33989.23,32462.24,-4.49,0.0866,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,40363.95,41575.98,3.0,0.1103,0.0367
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,1788.09,1739.26,-2.73,0.0014,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,6359.72,6312.8,-0.74,0.0005,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,14457.47,14799.58,2.37,-0.0052,-0.0022
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,28113.91,26854.21,-4.48,0.0042,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,39955.49,36112.71,-9.62,0.0006,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,851.21,901.46,5.9,-0.0498,-0.0084
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,2154.06,2094.58,-2.76,0.0359,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,4078.66,4036.41,-1.04,0.0367,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,7141.65,6835.72,-4.28,-0.0224,inf
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,11561.69,12095.17,4.61,0.0126,0.0027
