strategy,func,dim,algo,mean,std,min,max,median,n,is_evo
best1bin,Rastrigin,4000,SMCO_BR,114314.06385418,214.99146069,114162.04193443,114466.08577393,114314.06385418,2,False
best1bin,Rastrigin,4000,SMCO_BR_EVO,114319.86604742,200.94478054,114177.77663046,114461.95546439,114319.86604742,2,True
best1bin,Rastrigin,4000,SMCO_EVO,114314.91250138,236.60886496,114147.60476848,114482.22023428,114314.91250138,2,True
best1bin,Rastrigin,4000,SMCO_R,114374.76422764,235.51437718,114208.23041446,114541.29804081,114374.76422764,2,False
best1bin,Rastrigin,4000,SMCO_R_EVO,114380.51305936,229.28342452,114218.38519507,114542.64092364,114380.51305936,2,True
best1bin,Rastrigin,5000,DEoptim,95772.36984368,23.4468615,95755.79040891,95788.94927844,95772.36984368,2,False
best1bin,Rastrigin,5000,GA,94743.88053802,23.08936978,94727.55388808,94760.20718796,94743.88053802,2,False
best1bin,Rastrigin,5000,GenSA,201766.21261094,0.22153992,201766.05595856,201766.36926332,201766.21261094,2,False
best1bin,Rastrigin,5000,PSO,144957.97011654,69.69212458,144908.69034266,145007.24989042,144957.97011654,2,False
best1bin,Rastrigin,5000,SA,144455.59698672,101.16087882,144384.06544332,144527.12853013,144455.59698672,2,False
best1bin,Rastrigin,5000,SMCO,142458.32504619,194.88279805,142320.52209815,142596.12799423,142458.32504619,2,False
best1bin,Rastrigin,5000,SMCO_BR,142460.14573843,185.2922606,142329.12432446,142591.1671524,142460.14573843,2,False
best1bin,Rastrigin,5000,SMCO_BR_EVO,142458.48954384,216.54540073,142305.36882255,142611.61026514,142458.48954384,2,True
best1bin,Rastrigin,5000,SMCO_EVO,142432.29777746,221.06656364,142275.98011122,142588.6154437,142432.29777746,2,True
best1bin,Rastrigin,5000,SMCO_R,142512.25069086,196.60138387,142373.23251914,142651.26886259,142512.25069086,2,False
best1bin,Rastrigin,5000,SMCO_R_EVO,142540.8363879,220.74933621,142384.74303532,142696.92974048,142540.8363879,2,True
best1bin,Rosenbrock,1000,DEoptim,160936607.22145408,1809647.55990471,159561501.12938192,164011381.08073202,160704901.26863357,5,False
best1bin,Rosenbrock,1000,GA,228741053.82543468,7389568.32242458,222003423.83312368,239912959.66207445,227929074.094585,5,False
best1bin,Rosenbrock,1000,GenSA,809563419.0,0.0,809563419.0,809563419.0,809563419.0,5,False
best1bin,Rosenbrock,1000,PSO,532788129.0,12765771.19146793,523206909.0,554798934.0,527392404.0,5,False
best1bin,Rosenbrock,1000,SA,542589309.0,12621181.79874858,524331684.0,559748799.0,543345489.0,5,False
best1bin,Rosenbrock,1000,SMCO,463389064.88490987,2712843.21054237,459380108.1813948,466031366.3594706,463067509.89337283,5,False
