strategy,pair,func,dim,n,base_mean,evo_mean,improve_pct,win_rate,wilcoxon_p,significant
rand1bin,SMCO_vs_SMCO_EVO,Ackley,4000,2,21.664995317854874,22.105049083661097,2.0312,100.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,5000,2,21.697044955860562,22.11147899382847,1.9101,100.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,5,29109.966169755517,29110.28655616283,0.0011,60.0,1.0,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,3,57881.35493030282,57883.78753974486,0.0042,66.7,1.0,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,2,86021.13959544411,86027.41694922576,0.0073,50.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,2,114310.4567734591,114316.99141115976,0.0057,50.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,2,142458.32504618834,142431.5465032895,-0.0188,0.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,5,463389064.8849098,463431517.42857647,0.0092,80.0,0.625,0
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,3,869247612.9724323,869043776.6301566,-0.0234,0.0,0.25,0
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,2,1239722873.845387,1239484708.4143791,-0.0192,0.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,2,1601610810.9908462,1601772804.8045106,0.0101,50.0,nan,0
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,2,1953961917.8469486,1953822312.2048445,-0.0071,50.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,5,21.949291370787886,22.178027911537946,1.0421,100.0,0.0625,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,3,21.90054567102072,22.177979438278655,1.2668,100.0,0.25,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,2,21.563667434577347,22.176596880481366,2.8424,100.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,2,21.696596470859426,22.14593543425402,2.071,100.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,2,21.72570270016472,22.152934041512637,1.9665,100.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,5,29138.032302071668,29138.03689959966,0.0,40.0,1.0,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,3,57929.57599256033,57944.88808556363,0.0264,100.0,0.25,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,2,86068.11548491748,86094.04443348976,0.0301,100.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,2,114374.76422763668,114388.86054100702,0.0123,50.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,2,142512.25069086358,142539.93391220184,0.0194,50.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,5,422712947.97426564,422691334.4917344,-0.0051,60.0,0.8125,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,3,775822748.1332974,781450086.1351376,0.7253,100.0,0.25,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,2,1094303115.940483,1096805777.1641424,0.2287,50.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,2,1399385030.0219135,1458666064.155912,4.2362,100.0,nan,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,2,1699574361.5793362,1763579913.2363734,3.766,100.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,5,21.941297712620617,22.192979486877405,1.1471,100.0,0.0625,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,3,21.921569244123116,22.188212044925752,1.2163,100.0,0.25,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,2,21.90992625267647,22.177831256865552,1.2228,100.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,2,21.90941466516003,22.181003810305604,1.2396,100.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,2,21.912597619812423,22.184909932388898,1.2427,100.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,5,29126.310254371823,29126.299182316616,-0.0,40.0,1.0,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,3,57911.78566871155,57914.65963310521,0.005,33.3,1.0,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,2,86027.36301720096,86030.44584423266,0.0036,100.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,2,114314.06385418148,114315.02117795529,0.0008,50.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,2,142460.14573842997,142458.56569411245,-0.0011,50.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,5,348193067.76848793,367745225.4843526,5.6153,100.0,0.0625,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,3,618155929.2741712,681642200.328956,10.2703,100.0,0.25,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,2,859724697.6735848,984001031.0391653,14.4554,100.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,2,1091605069.4387069,1284332464.5678978,17.6554,100.0,nan,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,2,1318276891.8457017,1571387343.601668,19.2001,100.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Ackley,1000,5,21.356747941768013,21.897164392188305,2.5304,100.0,0.0625,0
sobol,SMCO_vs_SMCO_EVO,Ackley,2000,3,21.412231167680464,21.88740662555111,2.2192,100.0,0.25,0
sobol,SMCO_vs_SMCO_EVO,Ackley,3000,2,21.532214189963604,21.879182063349567,1.6114,100.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Ackley,4000,2,21.664995317854874,21.892276107563664,1.0491,100.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Ackley,5000,2,21.697044955860562,21.879627250224026,0.8415,100.0,nan,0
sobol,SMCO_vs_SMCO_EVO,Rastrigin,1000,5,29109.966169755517,29110.274251319264,0.0011,40.0,1.0,0
sobol,SMCO_vs_SMCO_EVO,Rastrigin,2000,3,57881.35493030283,57882.646100563295,0.0022,66.7,0.75,0
