evo_algo,func,dim,strategy_1,strategy_2,s1_mean,s2_mean,winner
SMCO_R_EVO,Ackley,5000,rand1bin,sobol,22.152934,21.917239,rand1bin
SMCO_R_EVO,Rosenbrock,1000,rand1bin,sobol,422691334.491734,422669231.597696,rand1bin
SMCO_R_EVO,Rosenbrock,2000,rand1bin,sobol,781450086.135138,776076535.772559,rand1bin
SMCO_R_EVO,Rosenbrock,3000,rand1bin,sobol,1096805777.164142,1094196173.155689,rand1bin
SMCO_R_EVO,Rosenbrock,4000,rand1bin,sobol,1458666064.155912,1399514464.695182,rand1bin
SMCO_R_EVO,Rosenbrock,5000,rand1bin,sobol,1763579913.236374,1699732400.750996,rand1bin
SMCO_BR_EVO,Rastrigin,1000,best1bin,current-to-best1bin,29125.553585,29125.553585,tie
SMCO_BR_EVO,Rastrigin,2000,best1bin,current-to-best1bin,57911.570647,57911.570647,tie
SMCO_BR_EVO,Rastrigin,3000,best1bin,current-to-best1bin,86031.645888,86031.645888,tie
SMCO_BR_EVO,Rastrigin,4000,best1bin,current-to-best1bin,114319.866047,114319.866047,tie
SMCO_BR_EVO,Rastrigin,5000,best1bin,current-to-best1bin,142458.489544,142458.489544,tie
SMCO_BR_EVO,Ackley,1000,best1bin,current-to-best1bin,22.178927,22.159987,best1bin
SMCO_BR_EVO,Ackley,2000,best1bin,current-to-best1bin,22.174917,22.153864,best1bin
SMCO_BR_EVO,Ackley,3000,best1bin,current-to-best1bin,22.169782,22.149006,best1bin
SMCO_BR_EVO,Ackley,4000,best1bin,current-to-best1bin,22.165074,22.140271,best1bin
SMCO_BR_EVO,Ackley,5000,best1bin,current-to-best1bin,22.170896,22.152044,best1bin
SMCO_BR_EVO,Rosenbrock,1000,best1bin,current-to-best1bin,372046389.764004,361314025.782869,best1bin
SMCO_BR_EVO,Rosenbrock,2000,best1bin,current-to-best1bin,685824638.237074,667858608.950692,best1bin
SMCO_BR_EVO,Rosenbrock,3000,best1bin,current-to-best1bin,955288955.61972,928660317.15349,best1bin
SMCO_BR_EVO,Rosenbrock,4000,best1bin,current-to-best1bin,1273971153.476194,1239822826.069435,best1bin
SMCO_BR_EVO,Rosenbrock,5000,best1bin,current-to-best1bin,1530155403.464967,1529914988.376526,best1bin
SMCO_BR_EVO,Rastrigin,1000,best1bin,rand1bin,29125.553585,29126.299182,rand1bin
SMCO_BR_EVO,Rastrigin,2000,best1bin,rand1bin,57911.570647,57914.659633,rand1bin
SMCO_BR_EVO,Rastrigin,3000,best1bin,rand1bin,86031.645888,86030.445844,best1bin
SMCO_BR_EVO,Rastrigin,4000,best1bin,rand1bin,114319.866047,114315.021178,best1bin
SMCO_BR_EVO,Rastrigin,5000,best1bin,rand1bin,142458.489544,142458.565694,rand1bin
SMCO_BR_EVO,Ackley,1000,best1bin,rand1bin,22.178927,22.192979,rand1bin
SMCO_BR_EVO,Ackley,2000,best1bin,rand1bin,22.174917,22.188212,rand1bin
SMCO_BR_EVO,Ackley,3000,best1bin,rand1bin,22.169782,22.177831,rand1bin
SMCO_BR_EVO,Ackley,4000,best1bin,rand1bin,22.165074,22.181004,rand1bin
SMCO_BR_EVO,Ackley,5000,best1bin,rand1bin,22.170896,22.18491,rand1bin
SMCO_BR_EVO,Rosenbrock,1000,best1bin,rand1bin,372046389.764004,367745225.484353,best1bin
SMCO_BR_EVO,Rosenbrock,2000,best1bin,rand1bin,685824638.237074,681642200.328956,best1bin
SMCO_BR_EVO,Rosenbrock,3000,best1bin,rand1bin,955288955.61972,984001031.039165,rand1bin
