strategy,func,dim,algo,fopt_mean,smco_rank,best_in_smco
rand1bin,Rastrigin,1000,SMCO_EVO,29110.28655616,5,SMCO_R_EVO
rand1bin,Rastrigin,1000,SMCO,29109.96616976,6,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO_R_EVO,57944.88808556,1,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO_R,57929.57599256,2,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO_BR_EVO,57914.65963311,3,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO_BR,57911.78566871,4,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO_EVO,57883.78753974,5,SMCO_R_EVO
rand1bin,Rastrigin,2000,SMCO,57881.3549303,6,SMCO_R_EVO
rand1bin,Rastrigin,3000,SMCO_R_EVO,86094.04443349,1,SMCO_R_EVO
rand1bin,Rastrigin,3000,SMCO_R,86068.11548492,2,SMCO_R_EVO
rand1bin,Rastrigin,3000,SMCO_BR_EVO,86030.44584423,3,SMCO_R_EVO
rand1bin,Rastrigin,3000,SMCO_EVO,86027.41694923,4,SMCO_R_EVO
rand1bin,Rastrigin,3000,SMCO_BR,86027.3630172,5,SMCO_R_EVO
rand1bin,Rastrigin,3000,SMCO,86021.13959544,6,SMCO_R_EVO
rand1bin,Rastrigin,4000,SMCO_R_EVO,114388.86054101,1,SMCO_R_EVO
rand1bin,Rastrigin,4000,SMCO_R,114374.76422764,2,SMCO_R_EVO
rand1bin,Rastrigin,4000,SMCO_EVO,114316.99141116,3,SMCO_R_EVO
rand1bin,Rastrigin,4000,SMCO_BR_EVO,114315.02117796,4,SMCO_R_EVO
rand1bin,Rastrigin,4000,SMCO_BR,114314.06385418,5,SMCO_R_EVO
rand1bin,Rastrigin,4000,SMCO,114310.45677346,6,SMCO_R_EVO
rand1bin,Rastrigin,5000,SMCO_R_EVO,142539.9339122,1,SMCO_R_EVO
rand1bin,Rastrigin,5000,SMCO_R,142512.25069086,2,SMCO_R_EVO
rand1bin,Rastrigin,5000,SMCO_BR,142460.14573843,3,SMCO_R_EVO
rand1bin,Rastrigin,5000,SMCO_BR_EVO,142458.56569411,4,SMCO_R_EVO
rand1bin,Rastrigin,5000,SMCO,142458.32504619,5,SMCO_R_EVO
rand1bin,Rastrigin,5000,SMCO_EVO,142431.54650329,6,SMCO_R_EVO
