strategy,func,dim,algo,fopt_mean,rank,n_methods
current-to-best1bin,Rastrigin,2000,PSO,58152.53797892792,2,11
current-to-best1bin,Rastrigin,2000,SMCO_R_EVO,57943.735655981036,3,11
current-to-best1bin,Rastrigin,2000,SMCO_R,57929.575992560334,4,11
current-to-best1bin,Rastrigin,2000,SMCO_BR,57911.78566871155,5,11
current-to-best1bin,Rastrigin,2000,SMCO_BR_EVO,57911.57064659148,6,11
current-to-best1bin,Rastrigin,2000,SMCO_EVO,57883.29476627167,7,11
current-to-best1bin,Rastrigin,2000,SMCO,57881.35493030282,8,11
current-to-best1bin,Rastrigin,2000,SA,57849.4274515718,9,11
current-to-best1bin,Rastrigin,2000,GA,39985.96662560166,10,11
current-to-best1bin,Rastrigin,2000,DEoptim,39049.42474348234,11,11
current-to-best1bin,Rastrigin,3000,GenSA,121059.87040453288,1,11
current-to-best1bin,Rastrigin,3000,PSO,87035.34159179099,2,11
current-to-best1bin,Rastrigin,3000,SA,86781.56655992431,3,11
current-to-best1bin,Rastrigin,3000,SMCO_R_EVO,86094.5555976759,4,11
current-to-best1bin,Rastrigin,3000,SMCO_R,86068.11548491748,5,11
current-to-best1bin,Rastrigin,3000,SMCO_BR_EVO,86031.64588793849,6,11
current-to-best1bin,Rastrigin,3000,SMCO_EVO,86028.14017521989,7,11
current-to-best1bin,Rastrigin,3000,SMCO_BR,86027.36301720096,8,11
current-to-best1bin,Rastrigin,3000,SMCO,86021.13959544411,9,11
current-to-best1bin,Rastrigin,3000,GA,59470.21118374476,10,11
current-to-best1bin,Rastrigin,3000,DEoptim,57968.501820506805,11,11
current-to-best1bin,Rastrigin,4000,GenSA,161412.67179774528,1,11
current-to-best1bin,Rastrigin,4000,PSO,115988.19110691891,2,11
current-to-best1bin,Rastrigin,4000,SA,115692.09726627979,3,11
current-to-best1bin,Rastrigin,4000,SMCO_R_EVO,114380.51305935602,4,11
current-to-best1bin,Rastrigin,4000,SMCO_R,114374.76422763668,5,11
current-to-best1bin,Rastrigin,4000,SMCO_BR_EVO,114319.86604742098,6,11
current-to-best1bin,Rastrigin,4000,SMCO_EVO,114314.91250137634,7,11
current-to-best1bin,Rastrigin,4000,SMCO_BR,114314.06385418148,8,11
current-to-best1bin,Rastrigin,4000,SMCO,114310.4567734591,9,11
current-to-best1bin,Rastrigin,4000,DEoptim,77000.13010232343,10,11
current-to-best1bin,Rastrigin,4000,GA,76768.81248488357,11,11
current-to-best1bin,Rastrigin,5000,GenSA,201766.21261094167,1,11
current-to-best1bin,Rastrigin,5000,PSO,144957.97011654064,2,11
current-to-best1bin,Rastrigin,5000,SA,144455.59698672255,3,11
current-to-best1bin,Rastrigin,5000,SMCO_R_EVO,142540.83638789976,4,11
current-to-best1bin,Rastrigin,5000,SMCO_R,142512.25069086358,5,11
current-to-best1bin,Rastrigin,5000,SMCO_BR,142460.14573842997,6,11
current-to-best1bin,Rastrigin,5000,SMCO_BR_EVO,142458.4895438425,7,11
current-to-best1bin,Rastrigin,5000,SMCO,142458.32504618834,8,11
current-to-best1bin,Rastrigin,5000,SMCO_EVO,142432.29777746001,9,11
current-to-best1bin,Rastrigin,5000,DEoptim,95772.36984367606,10,11
current-to-best1bin,Rastrigin,5000,GA,94743.88053801833,11,11
current-to-best1bin,Rosenbrock,1000,GenSA,809563419.0,1,11
current-to-best1bin,Rosenbrock,1000,SA,542589309.0,2,11
current-to-best1bin,Rosenbrock,1000,PSO,532788129.0,3,11
current-to-best1bin,Rosenbrock,1000,SMCO_EVO,463443829.07431805,4,11
current-to-best1bin,Rosenbrock,1000,SMCO,463389064.8849098,5,11
current-to-best1bin,Rosenbrock,1000,SMCO_R,422712947.97426564,6,11
current-to-best1bin,Rosenbrock,1000,SMCO_R_EVO,422659750.85499537,7,11
current-to-best1bin,Rosenbrock,1000,SMCO_BR_EVO,361314025.78286856,8,11
current-to-best1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,9,11
current-to-best1bin,Rosenbrock,1000,GA,228741053.82543468,10,11
current-to-best1bin,Rosenbrock,1000,DEoptim,160936607.22145408,11,11
current-to-best1bin,Rosenbrock,2000,GenSA,1619644419.0,1,11
current-to-best1bin,Rosenbrock,2000,SA,1082940579.0,2,11
current-to-best1bin,Rosenbrock,2000,PSO,1038838524.0,3,11
current-to-best1bin,Rosenbrock,2000,SMCO,869247612.9724323,4,11
current-to-best1bin,Rosenbrock,2000,SMCO_EVO,869037289.3809952,5,11
current-to-best1bin,Rosenbrock,2000,SMCO_R_EVO,775870948.4175621,6,11
current-to-best1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,7,11
current-to-best1bin,Rosenbrock,2000,SMCO_BR_EVO,667858608.950692,8,11
current-to-best1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,9,11
current-to-best1bin,Rosenbrock,2000,GA,378960173.9105427,10,11
current-to-best1bin,Rosenbrock,2000,DEoptim,298880966.55981404,11,11
current-to-best1bin,Rosenbrock,3000,GenSA,2429725419.0,1,11
current-to-best1bin,Rosenbrock,3000,SA,1590726046.5,2,11
current-to-best1bin,Rosenbrock,3000,PSO,1567742184.0,3,11
current-to-best1bin,Rosenbrock,3000,SMCO,1239722873.845387,4,11
current-to-best1bin,Rosenbrock,3000,SMCO_EVO,1239385157.2331452,5,11
