experiment,pair,algo,func,dim,rep,fopt,time,iterations
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,12,80.70574219985971,0.0462288010166958,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,13,80.7064101773618,0.044745633960701525,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,13,80.70579074161186,0.04618560499511659,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,14,80.70606796201086,0.044903222005814314,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,14,80.7051317154127,0.046274753054603934,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,15,80.70505055886336,0.04512096801772714,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,15,80.70656202604955,0.046096549020148814,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,16,80.70656568046276,0.04470752889756113,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,16,80.70652798575259,0.04608963697683066,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,17,80.70655234202422,0.04457975609693676,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,17,80.70657652182055,0.04901199892628938,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,18,80.70615114502678,0.044353933073580265,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,18,80.70629922550705,0.04585851903539151,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,19,80.70658029438404,0.04462268098723143,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,19,80.70638239754989,0.04584569309372455,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,20,80.70494802951025,0.044300390989519656,153
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R_EVO,Rastrigin,2,20,80.70627932790899,0.04546631302218884,303
1,SMCO_R_vs_SMCO_R_EVO,SMCO_R,Rastrigin,2,21,80.70593503677857,0.04451624897774309,153
