pair,func,dim,n_reps,evo_wins,base_wins,ties,base_mean,evo_mean,base_std,evo_std,wilcoxon_stat,p_value,significant_005
SMCO_R_vs_SMCO_R_EVO,Griewank,2,100,43,44,13,180.93589755353506,180.93113626988486,0.3834958516399174,0.34750876513787826,1899.0,0.9493796318703168,0
SMCO_R_vs_SMCO_R_EVO,Griewank,10,100,49,51,0,887.2731455096674,886.9713329946915,2.7121929974914347,2.773570901444743,2215.0,0.2864775738440115,0
SMCO_R_vs_SMCO_R_EVO,Griewank,50,30,8,22,0,4333.993146391085,4330.542847495995,11.666898432393499,10.151194176741262,91.0,0.0027663204818964005,1
SMCO_R_vs_SMCO_R_EVO,Griewank,200,10,6,4,0,16712.981164112272,16718.327975391625,18.116004747462497,16.31728212530914,15.0,0.232421875,0
SMCO_R_vs_SMCO_R_EVO,Michalewicz,2,100,34,46,20,-2.5849786276599666e-64,-2.450558010577552e-40,2.5558238278550186e-63,2.4505580105775513e-39,1423.0,0.3447259757778003,0
SMCO_R_vs_SMCO_R_EVO,Michalewicz,10,100,50,50,0,-4.1781228448871485e-45,-5.3951857055367964e-39,3.567471154054866e-44,5.357492559042022e-38,2389.0,0.6400619540504373,0
SMCO_R_vs_SMCO_R_EVO,Michalewicz,50,30,13,17,0,-5.705529178707038e-28,-8.429631946555283e-28,9.200343776401621e-28,1.212820194209298e-27,162.0,0.15188691951334476,0
SMCO_R_vs_SMCO_R_EVO,Qing,10,100,49,51,0,606166055359.6832,605734903366.2952,3686065030.0991583,3766287512.2108293,2220.0,0.2943212430119939,0
SMCO_R_vs_SMCO_R_EVO,Rastrigin,2,100,47,50,3,80.62584715748498,80.54540345231936,0.8040536969120265,1.131344078621972,2141.0,0.3967810522016827,0
SMCO_R_vs_SMCO_R_EVO,Rastrigin,10,100,50,50,0,382.89552668212616,382.3124185155368,13.637225871449388,12.863475007296808,2402.0,0.6723580402630482,0
SMCO_R_vs_SMCO_R_EVO,Rastrigin,50,30,13,17,0,1709.5237456991233,1709.6571554930197,28.425276517090335,28.736373917461613,222.0,0.8393927440047264,0
