experiment,func,dim,elimination_rate,evolution_points,rep,fopt
4,Rastrigin,10,0.4,"(0.5,)",17,385.4293601950146
4,Rastrigin,10,0.4,"(0.5,)",18,381.41013068571345
4,Rastrigin,10,0.4,"(0.5,)",19,385.43352928406756
4,Rastrigin,10,0.4,"(0.5,)",20,375.3811818820525
4,Rastrigin,10,0.4,"(0.5,)",21,403.5123492793028
4,Rastrigin,10,0.4,"(0.5,)",22,373.37391467342087
4,Rastrigin,10,0.4,"(0.5,)",23,395.4756646129657
4,Rastrigin,10,0.4,"(0.5,)",24,395.48331496097944
4,Rastrigin,10,0.4,"(0.5,)",25,371.36186932050765
4,Rastrigin,10,0.4,"(0.5,)",26,381.4040721957465
4,Rastrigin,10,0.4,"(0.5,)",27,377.38298318427496
4,Rastrigin,10,0.4,"(0.5,)",28,403.5163558591618
4,Rastrigin,10,0.4,"(0.5,)",29,379.3996988278635
4,Rastrigin,10,0.4,"(0.5, 0.75)",0,387.43471235767987
4,Rastrigin,10,0.4,"(0.5, 0.75)",1,367.3431611539443
4,Rastrigin,10,0.4,"(0.5, 0.75)",2,381.402677100925
4,Rastrigin,10,0.4,"(0.5, 0.75)",3,395.48759205893344
4,Rastrigin,10,0.4,"(0.5, 0.75)",4,385.4331914888221
4,Rastrigin,10,0.4,"(0.5, 0.75)",5,367.3310034499058
4,Rastrigin,10,0.4,"(0.5, 0.75)",6,387.43555136380365
4,Rastrigin,10,0.4,"(0.5, 0.75)",7,395.4711364542404
4,Rastrigin,10,0.4,"(0.5, 0.75)",8,387.4431253166236
4,Rastrigin,10,0.4,"(0.5, 0.75)",9,377.39244411449516
4,Rastrigin,10,0.4,"(0.5, 0.75)",10,359.2929176276373
4,Rastrigin,10,0.4,"(0.5, 0.75)",11,395.47544798592463
4,Rastrigin,10,0.4,"(0.5, 0.75)",12,369.350324119287
4,Rastrigin,10,0.4,"(0.5, 0.75)",13,371.35867038646904
4,Rastrigin,10,0.4,"(0.5, 0.75)",14,387.44090831418333
4,Rastrigin,10,0.4,"(0.5, 0.75)",15,387.43812073149604
4,Rastrigin,10,0.4,"(0.5, 0.75)",16,385.42453019737263
4,Rastrigin,10,0.4,"(0.5, 0.75)",17,359.30249916054305
4,Rastrigin,10,0.4,"(0.5, 0.75)",18,377.3915710925168
4,Rastrigin,10,0.4,"(0.5, 0.75)",19,381.4152116324765
4,Rastrigin,10,0.4,"(0.5, 0.75)",20,395.48358207219144
4,Rastrigin,10,0.4,"(0.5, 0.75)",21,367.33821812948287
4,Rastrigin,10,0.4,"(0.5, 0.75)",22,369.34252915674244
4,Rastrigin,10,0.4,"(0.5, 0.75)",23,377.389023854374
4,Rastrigin,10,0.4,"(0.5, 0.75)",24,385.4333489675278
4,Rastrigin,10,0.4,"(0.5, 0.75)",25,395.4784292912323
4,Rastrigin,10,0.4,"(0.5, 0.75)",26,395.4734352341477
4,Rastrigin,10,0.4,"(0.5, 0.75)",27,381.4089917594629
4,Rastrigin,10,0.4,"(0.5, 0.75)",28,377.38910150833215
4,Rastrigin,10,0.4,"(0.5, 0.75)",29,381.4029175368965
4,Rastrigin,10,0.4,"(0.33, 0.66)",0,359.297869282135
4,Rastrigin,10,0.4,"(0.33, 0.66)",1,403.51616327768835
4,Rastrigin,10,0.4,"(0.33, 0.66)",2,385.43157026594736
4,Rastrigin,10,0.4,"(0.33, 0.66)",3,373.36336852228635
4,Rastrigin,10,0.4,"(0.33, 0.66)",4,351.2563085640394
4,Rastrigin,10,0.4,"(0.33, 0.66)",5,403.5177128769925
4,Rastrigin,10,0.4,"(0.33, 0.66)",6,377.3917317653622
4,Rastrigin,10,0.4,"(0.33, 0.66)",7,389.45415326593013
4,Rastrigin,10,0.4,"(0.33, 0.66)",8,385.42803130241845
4,Rastrigin,10,0.4,"(0.33, 0.66)",9,349.24836943647284
4,Rastrigin,10,0.4,"(0.33, 0.66)",10,343.2176871498404
4,Rastrigin,10,0.4,"(0.33, 0.66)",11,395.47847253584524
4,Rastrigin,10,0.4,"(0.33, 0.66)",12,385.42643249677946
4,Rastrigin,10,0.4,"(0.33, 0.66)",13,389.45036829096637
4,Rastrigin,10,0.4,"(0.33, 0.66)",14,403.5210986006646
4,Rastrigin,10,0.4,"(0.33, 0.66)",15,389.4523181750222
4,Rastrigin,10,0.4,"(0.33, 0.66)",16,369.34430421764614
4,Rastrigin,10,0.4,"(0.33, 0.66)",17,385.43236649780897
4,Rastrigin,10,0.4,"(0.33, 0.66)",18,371.3601521111948
4,Rastrigin,10,0.4,"(0.33, 0.66)",19,377.3873922738292
4,Rastrigin,10,0.4,"(0.33, 0.66)",20,367.3389405469017
4,Rastrigin,10,0.4,"(0.33, 0.66)",21,351.25742184610704
4,Rastrigin,10,0.4,"(0.33, 0.66)",22,377.387100259467
4,Rastrigin,10,0.4,"(0.33, 0.66)",23,377.3866899154451
4,Rastrigin,10,0.4,"(0.33, 0.66)",24,377.39183573738035
4,Rastrigin,10,0.4,"(0.33, 0.66)",25,389.44765277494434
4,Rastrigin,10,0.4,"(0.33, 0.66)",26,395.4746619355958
4,Rastrigin,10,0.4,"(0.33, 0.66)",27,403.512417293912
4,Rastrigin,10,0.4,"(0.33, 0.66)",28,387.43576843304356
4,Rastrigin,10,0.4,"(0.33, 0.66)",29,395.47767703483123
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",0,395.47778353612466
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",1,395.47355377182896
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",2,371.35656234543285
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",3,381.41381879611515
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",4,369.34272203418044
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",5,381.4107997778082
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",6,403.5167718683459
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",7,389.44885671895804
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",8,351.2564027273649
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",9,377.39306492228576
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",10,403.5220104803495
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",11,349.24960995667504
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",12,389.44620420623954
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",13,403.5180537107754
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",14,385.4224442449838
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",15,403.5183593908234
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",16,371.3624453514414
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",17,381.4054766618219
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",18,395.4793130566828
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",19,403.52329234095214
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",20,395.4780965551637
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",21,403.51570121106374
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",22,387.4393677915665
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",23,385.4348463540749
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",24,381.4063707216505
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",25,379.39888754573684
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",26,403.5209589833516
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",27,395.47389943014446
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",28,395.47504254954265
4,Rastrigin,10,0.4,"(0.25, 0.5, 0.75)",29,385.4292116554338
4,Rastrigin,10,0.5,"(0.5,)",0,379.400112619097
4,Rastrigin,10,0.5,"(0.5,)",1,377.3924896406652
4,Rastrigin,10,0.5,"(0.5,)",2,387.43698352555674
4,Rastrigin,10,0.5,"(0.5,)",3,371.35817988343115
4,Rastrigin,10,0.5,"(0.5,)",4,395.47355651726906
4,Rastrigin,10,0.5,"(0.5,)",5,395.4802707420595
4,Rastrigin,10,0.5,"(0.5,)",6,385.4262531164391
4,Rastrigin,10,0.5,"(0.5,)",7,377.38822233402243
4,Rastrigin,10,0.5,"(0.5,)",8,363.3190796204341
4,Rastrigin,10,0.5,"(0.5,)",9,379.39261214269646
4,Rastrigin,10,0.5,"(0.5,)",10,395.4774876598993
4,Rastrigin,10,0.5,"(0.5,)",11,395.48037047031175
4,Rastrigin,10,0.5,"(0.5,)",12,371.36198997070477
4,Rastrigin,10,0.5,"(0.5,)",13,375.37456573535616
4,Rastrigin,10,0.5,"(0.5,)",14,377.38845417828253
