experiment,strategy,func,dim,rep,fopt,time
3,sobol,Rastrigin,10,3,387.4384939271453,0.246174794039689
3,sobol,Rastrigin,10,4,367.3378352950011,0.21199415205046535
3,sobol,Rastrigin,10,5,371.35933517661306,0.21642264805268496
3,sobol,Rastrigin,10,6,385.4293267826932,0.20806107099633664
3,sobol,Rastrigin,10,7,371.36312740250503,0.20301487494725734
3,sobol,Rastrigin,10,8,395.47646893141183,0.19903278909623623
3,sobol,Rastrigin,10,9,377.38598735323103,0.20199511700775474
3,sobol,Rastrigin,10,10,395.47708977279075,0.20124768710229546
3,sobol,Rastrigin,10,11,381.4032348977621,0.19869868992827833
3,sobol,Rastrigin,10,12,403.5121417891642,0.2584383509820327
3,sobol,Rastrigin,10,13,387.4393747551049,0.1987149859778583
3,sobol,Rastrigin,10,14,387.433632205087,0.1978100900305435
3,sobol,Rastrigin,10,15,377.38236498435333,0.20219536102376878
3,sobol,Rastrigin,10,16,359.2941739876957,0.19835965998936445
3,sobol,Rastrigin,10,17,385.43063332459093,0.19809283397626132
3,sobol,Rastrigin,10,18,371.3521290490636,0.198654706007801
3,sobol,Rastrigin,10,19,379.4019834224182,0.19717780500650406
3,sobol,Rastrigin,10,20,367.33233432088105,0.19763542897999287
3,sobol,Rastrigin,10,21,389.4528725207621,0.19840972602833062
3,sobol,Rastrigin,10,22,385.4322339509713,0.19841783796437085
3,sobol,Rastrigin,10,23,403.5230599289406,0.19865128409583122
3,sobol,Rastrigin,10,24,389.4474002430818,0.2054350400576368
3,sobol,Rastrigin,10,25,403.51391192245245,0.21878077404107898
3,sobol,Rastrigin,10,26,377.38561086594035,0.21136813703924417
3,sobol,Rastrigin,10,27,381.40942983731236,0.21145095804240555
3,sobol,Rastrigin,10,28,403.5216942249296,0.2138296839548275
3,sobol,Rastrigin,10,29,357.2883786275482,0.21621242200490087
3,sobol,Rastrigin,10,30,377.3842620356756,0.21981430193409324
3,sobol,Rastrigin,10,31,359.2959505680371,0.2002094630151987
3,sobol,Rastrigin,10,32,385.43560123674075,0.19748240406624973
3,sobol,Rastrigin,10,33,395.47392491912296,0.19874276302289218
3,sobol,Rastrigin,10,34,379.39979480410955,0.19849295204039663
3,sobol,Rastrigin,10,35,389.44217204564296,0.19891605502925813
3,sobol,Rastrigin,10,36,377.38638988629174,0.19865561893675476
3,sobol,Rastrigin,10,37,403.51497386205205,0.19850837101694196
3,sobol,Rastrigin,10,38,377.38425291369686,0.19915368605870754
3,sobol,Rastrigin,10,39,403.50980534094685,0.19838419393636286
3,sobol,Rastrigin,10,40,389.4478527420828,0.19985510397236794
3,sobol,Rastrigin,10,41,369.3555320638886,0.1987127410247922
3,sobol,Rastrigin,10,42,341.2086934976058,0.19747596001252532
3,sobol,Rastrigin,10,43,371.35954217829806,0.19760842307005078
3,sobol,Rastrigin,10,44,403.52062590257947,0.19851301494054496
3,sobol,Rastrigin,10,45,367.3373161828962,0.19808169396128505
3,sobol,Rastrigin,10,46,377.386357241664,0.19857682602014393
3,sobol,Rastrigin,10,47,385.4329754591129,0.19909712893422693
3,sobol,Rastrigin,10,48,395.48709238861505,0.1979516160208732
3,sobol,Rastrigin,10,49,395.4761515882153,0.20053568796720356
3,rand1bin,Ackley,10,0,22.132768736518184,0.37656174099538475
3,rand1bin,Ackley,10,1,22.131008899733818,0.3739046100527048
3,rand1bin,Ackley,10,2,22.112307331332833,0.3798464930150658
3,rand1bin,Ackley,10,3,22.092360661763973,0.3596655640285462
3,rand1bin,Ackley,10,4,22.10482075301864,0.3637389380019158
3,rand1bin,Ackley,10,5,22.11656426382474,0.35033560800366104
3,rand1bin,Ackley,10,6,22.146385843822898,0.34694452199619263
3,rand1bin,Ackley,10,7,22.1164781627792,0.3397157349390909
3,rand1bin,Ackley,10,8,22.11958361455119,0.35504409100394696
