function,dim,variant,rep,seed,best_value,iterations,wall_time_sec,gap_to_known
Griewank,2,smco_evo,9,20264536,-0.003033866422958109,310,0.1635745299863629,0.003033866422958109
Griewank,2,smco,10,20264537,-0.006742020600965515,310,0.1573280090233311,0.006742020600965515
Griewank,2,smco_evo,10,20264537,-0.006742020600965515,310,0.16023764602141455,0.006742020600965515
Griewank,2,smco,11,20264538,-0.007514420749683337,310,0.15846932103158906,0.007514420749683337
Griewank,2,smco_evo,11,20264538,-0.007514420749683337,310,0.15829198400024325,0.007514420749683337
Griewank,2,smco,12,20264539,-0.0005520701011596518,310,0.1577812359901145,0.0005520701011596518
Griewank,2,smco_evo,12,20264539,-0.0005520701011596518,310,0.1593979710014537,0.0005520701011596518
Griewank,2,smco,13,20264540,-0.008385448290024411,310,0.1570583280408755,0.008385448290024411
Griewank,2,smco_evo,13,20264540,-0.011298392530385004,310,0.15852935798466206,0.011298392530385004
Griewank,2,smco,14,20264541,-0.008980982346884825,310,0.15657090494642034,0.008980982346884825
Griewank,2,smco_evo,14,20264541,-0.0012245500851362223,310,0.16266708000330254,0.0012245500851362223
Griewank,2,smco,15,20264542,-0.007756963927785354,310,0.17066652502398938,0.007756963927785354
Griewank,2,smco_evo,15,20264542,-0.007756963927785354,310,0.1777058730367571,0.007756963927785354
Griewank,2,smco,16,20264543,-0.004662910109728524,310,0.1589255190338008,0.004662910109728524
Griewank,2,smco_evo,16,20264543,-0.0009939735086292867,310,0.19898670999100432,0.0009939735086292867
Griewank,2,smco,17,20264544,-0.008478358315964107,310,0.17105842800810933,0.008478358315964107
Griewank,2,smco_evo,17,20264544,-0.008478358315964107,310,0.18120789900422096,0.008478358315964107
Griewank,2,smco,18,20264545,-0.010658693001312836,310,0.16654066898627207,0.010658693001312836
Griewank,2,smco_evo,18,20264545,-0.008326826382464847,310,0.16127814794890583,0.008326826382464847
Griewank,2,smco,19,20264546,-0.008797579233915331,310,0.17800124100176618,0.008797579233915331
Griewank,2,smco_evo,19,20264546,-0.00811926707254318,310,0.16016230901004747,0.00811926707254318
Rosenbrock,10,smco,0,20265527,-0.6652545925889721,310,0.5458593769581057,0.6652545925889721
Rosenbrock,10,smco_evo,0,20265527,-0.6652545925889721,310,0.5381742109893821,0.6652545925889721
Rosenbrock,10,smco,1,20265528,-0.9452520162987779,310,0.5514739839709364,0.9452520162987779
Rosenbrock,10,smco_evo,1,20265528,-0.8696480409398595,310,0.5439500720240176,0.8696480409398595
Rosenbrock,10,smco,2,20265529,-0.2874881190570583,310,0.5345109610352665,0.2874881190570583
Rosenbrock,10,smco_evo,2,20265529,-0.2874881190570583,310,0.5686211390420794,0.2874881190570583
Rosenbrock,10,smco,3,20265530,-0.9140705721559599,310,0.5656416539568454,0.9140705721559599
Rosenbrock,10,smco_evo,3,20265530,-0.9140705721559599,310,0.5818488500081003,0.9140705721559599
Rosenbrock,10,smco,4,20265531,-0.6662717284516344,310,0.534205766976811,0.6662717284516344
Rosenbrock,10,smco_evo,4,20265531,-0.6662717284516344,310,0.5796901810099371,0.6662717284516344
Rosenbrock,10,smco,5,20265532,-0.8614310663458173,310,0.534293100994546,0.8614310663458173
Rosenbrock,10,smco_evo,5,20265532,-1.0900362242647017,310,0.5427124540437944,1.0900362242647017
Rosenbrock,10,smco,6,20265533,-0.6057527210984033,310,0.5332459860364906,0.6057527210984033
Rosenbrock,10,smco_evo,6,20265533,-0.6057527210984033,310,0.5393360320013016,0.6057527210984033
Rosenbrock,10,smco,7,20265534,-0.7810905328739338,310,0.5362519749905914,0.7810905328739338
Rosenbrock,10,smco_evo,7,20265534,-0.554443530056127,310,0.593897178012412,0.554443530056127
Rosenbrock,10,smco,8,20265535,-1.0137621849030647,310,0.6092824619845487,1.0137621849030647
Rosenbrock,10,smco_evo,8,20265535,-0.8559438865565094,310,0.557755513000302,0.8559438865565094
Rosenbrock,10,smco,9,20265536,-0.9296802782992108,310,0.5335872590076178,0.9296802782992108
Rosenbrock,10,smco_evo,9,20265536,-0.8820013245870614,310,0.5387620539986528,0.8820013245870614
Rosenbrock,10,smco,10,20265537,-1.0475652083743106,310,0.541550597990863,1.0475652083743106
Rosenbrock,10,smco_evo,10,20265537,-0.5822437466177364,310,0.5465504719759338,0.5822437466177364
Rosenbrock,10,smco,11,20265538,-0.6201354356952413,310,0.5353903230279684,0.6201354356952413
Rosenbrock,10,smco_evo,11,20265538,-0.6201354356952413,310,0.5361964860348962,0.6201354356952413
Rosenbrock,10,smco,12,20265539,-0.9789875610748041,310,0.5396861979970708,0.9789875610748041
Rosenbrock,10,smco_evo,12,20265539,-0.7416305985960592,310,0.5520427110022865,0.7416305985960592
Rosenbrock,10,smco,13,20265540,-0.7170478203619416,310,0.5841218929854222,0.7170478203619416
Rosenbrock,10,smco_evo,13,20265540,-0.47504953016421025,310,0.5377969089895487,0.47504953016421025
Rosenbrock,10,smco,14,20265541,-0.7261721236951028,310,0.5364565640338697,0.7261721236951028
Rosenbrock,10,smco_evo,14,20265541,-0.46809719385559834,310,0.5373810620512813,0.46809719385559834
Rosenbrock,10,smco,15,20265542,-0.6945408242901374,310,0.5384561470127665,0.6945408242901374
Rosenbrock,10,smco_evo,15,20265542,-0.6442315377965331,310,0.5381663519656286,0.6442315377965331
Rosenbrock,10,smco,16,20265543,-0.6382222969916951,310,0.5364845860167406,0.6382222969916951
Rosenbrock,10,smco_evo,16,20265543,-0.6382222969916951,310,0.5568962430115789,0.6382222969916951
Rosenbrock,10,smco,17,20265544,-1.139548033377145,310,0.5701947400229983,1.139548033377145
Rosenbrock,10,smco_evo,17,20265544,-0.6343253065416743,310,0.5984492750139907,0.6343253065416743
Rosenbrock,10,smco,18,20265545,-0.7921698378966608,310,0.5359365320182405,0.7921698378966608
Rosenbrock,10,smco_evo,18,20265545,-1.0237971458303978,310,0.5375736390124075,1.0237971458303978
Rosenbrock,10,smco,19,20265546,-0.8414547698121038,310,0.5347975569893606,0.8414547698121038
Rosenbrock,10,smco_evo,19,20265546,-0.8414547698121038,310,0.5387741859885864,0.8414547698121038
DixonPrice,10,smco,0,20266527,-0.6740878356310206,310,0.5270532639697194,0.6740878356310206
DixonPrice,10,smco_evo,0,20266527,-0.6740878356310206,310,0.527706578024663,0.6740878356310206
DixonPrice,10,smco,1,20266528,-0.6756184380761505,310,0.5613590439897962,0.6756184380761505
DixonPrice,10,smco_evo,1,20266528,-0.67363327516077,310,0.5777379630017094,0.67363327516077
DixonPrice,10,smco,2,20266529,-0.6769851408613666,310,0.5774732970166951,0.6769851408613666
DixonPrice,10,smco_evo,2,20266529,-0.6766709634411696,310,0.6094673100160435,0.6766709634411696
DixonPrice,10,smco,3,20266530,-0.6731721528319294,310,0.53508022101596,0.6731721528319294
DixonPrice,10,smco_evo,3,20266530,-0.6731721528319294,310,0.5316875670105219,0.6731721528319294
DixonPrice,10,smco,4,20266531,-0.674221928242614,310,0.5384789269883186,0.674221928242614
DixonPrice,10,smco_evo,4,20266531,-0.674221928242614,310,0.5308457629871555,0.674221928242614
DixonPrice,10,smco,5,20266532,-0.6768287251971532,310,0.5256061029504053,0.6768287251971532
DixonPrice,10,smco_evo,5,20266532,-0.6766011098576654,310,0.550716067024041,0.6766011098576654
DixonPrice,10,smco,6,20266533,-0.6757700858835556,310,0.5568954610498622,0.6757700858835556
DixonPrice,10,smco_evo,6,20266533,-0.6714644638235263,310,0.5284509109915234,0.6714644638235263
DixonPrice,10,smco,7,20266534,-0.6777734901095882,310,0.5315294619649649,0.6777734901095882
DixonPrice,10,smco_evo,7,20266534,-0.6683605930009983,310,0.5321150989620946,0.6683605930009983
DixonPrice,10,smco,8,20266535,-0.6747701689367762,310,0.5307207260048017,0.6747701689367762
DixonPrice,10,smco_evo,8,20266535,-0.6743084070987968,310,0.5377452790271491,0.6743084070987968
DixonPrice,10,smco,9,20266536,-0.6748759044290051,310,0.5277612630161457,0.6748759044290051
DixonPrice,10,smco_evo,9,20266536,-0.6748759044290051,310,0.5322701460099779,0.6748759044290051
DixonPrice,10,smco,10,20266537,-0.673795015220658,310,0.5316180540248752,0.673795015220658
DixonPrice,10,smco_evo,10,20266537,-0.673795015220658,310,0.5359500719932839,0.673795015220658
DixonPrice,10,smco,11,20266538,-0.6742527611899889,310,0.5791982020018622,0.6742527611899889
DixonPrice,10,smco_evo,11,20266538,-0.6742527611899889,310,0.5384083699900657,0.6742527611899889
DixonPrice,10,smco,12,20266539,-0.6696318231662244,310,0.5417476940201595,0.6696318231662244
DixonPrice,10,smco_evo,12,20266539,-0.6696318231662244,310,0.5282318239915185,0.6696318231662244
DixonPrice,10,smco,13,20266540,-0.6717057312721636,310,0.5281428410089575,0.6717057312721636
DixonPrice,10,smco_evo,13,20266540,-0.6717057312721636,310,0.5361287829582579,0.6717057312721636
DixonPrice,10,smco,14,20266541,-0.6755782270072612,310,0.5274295600247569,0.6755782270072612
DixonPrice,10,smco_evo,14,20266541,-0.6737851318884804,310,0.5605283869663253,0.6737851318884804
DixonPrice,10,smco,15,20266542,-0.6754850906221036,310,0.5591574950376526,0.6754850906221036
