table,direction,function,algo,paper_rmse,rerun_rmse,rmse_ratio,paper_ae99,rerun_ae99,ae99_ratio,paper_time,rerun_time,time_ratio,rerun_best_opt,n_replications
table2,min,Ackley,GenSA,0.107,3.344874432486969e-06,3.1260508714831486e-05,0.114,9.630461805194558e-06,8.44777351332856e-05,271.7,18.447430476592853,0.06789632122411797,1.8960168990389548e-08,10
table2,min,Ackley,SA,1.651,19.51748454651341,11.821613898554457,1.679,19.63466314850008,11.694260362418154,0.3,44.04777861059993,146.82592870199977,1.8960168990389548e-08,10
table2,min,Ackley,DEoptim,1.545,3.6329937965979666,2.3514522955326647,1.563,3.9802924317465,2.546572253196737,32.2,159.5894846604089,4.956195175789096,1.8960168990389548e-08,10
table2,min,Ackley,GA,1.45,20.485619730428105,14.128013607191797,1.518,20.691732222515004,13.630917142631755,0.5,1.0684059087885545,2.136811817577109,1.8960168990389548e-08,10
table2,min,Ackley,PSO,1.546,19.931263223056465,12.892149562132253,1.59,20.0336585970043,12.59978528113478,5.1,0.44027806970407257,0.08632903327530836,1.8960168990389548e-08,10
table2,min,Griewank,SMCO,1.07,0.5895667131834303,0.5509969282088134,1.07,0.6492610851928104,0.6067860609278602,34.4,33.863500306895006,0.9844040786888083,1.9446254606592106e-09,10
table2,min,Griewank,SMCO_R,0.95,0.1462734278953797,0.15397202936355758,0.95,0.15810533465738766,0.16642666806040807,37.2,33.79021662099986,0.9083391564784907,1.9446254606592106e-09,10
table2,min,Griewank,SMCO_BR,0.96,0.11864192485003326,0.12358533838545131,0.96,0.1303045785613877,0.1357339360014455,36.5,66.54554929762381,1.8231657341814742,1.9446254606592106e-09,10
table2,min,Griewank,GenSA,3.05e-11,0.0038988884957459986,127832409.69659013,6.1e-11,0.009642499456871382,158073761.58805543,302.2,10.870665277983061,0.035971758034358245,1.9446254606592106e-09,10
table2,min,Griewank,SA,11626.0,3.5869511654881977e-10,3.085283988894029e-14,14002.0,7.156601511404404e-10,5.1111280612801053e-14,0.1,247.73366029598984,2477.3366029598983,1.9446254606592106e-09,10
table2,min,Griewank,DEoptim,5856.0,3.939897622040556,0.0006727967250752315,6086.0,5.632290092257394,0.000925450228763949,33.4,153.80993490738328,4.605087871478542,1.9446254606592106e-09,10
table2,min,Griewank,GA,7372.0,3121.3683160354262,0.42340861584853856,7920.0,3619.612474323174,0.45702177706100683,0.5,0.9677483497187496,1.9354966994374991,1.9446254606592106e-09,10
table2,min,Griewank,PSO,81.0,1433.3414977324755,17.695574046079944,143.0,1813.2422674645122,12.68001585639519,5.1,0.3720387707115151,0.07294877857088532,1.9446254606592106e-09,10
table2,min,Michalewicz,SMCO,42.22,46.03206950252556,1.0902906087760673,44.08,49.22866909101508,1.1168028378179464,42.7,72.10950134949526,1.688747104203636,-198.88612591998418,10
table2,min,Michalewicz,SMCO_R,28.42,13.685588223193374,0.4815477911046226,29.41,14.805087727975797,0.5034031869423936,42.5,72.05498187353369,1.6954113382007927,-198.88612591998418,10
table2,min,Michalewicz,SMCO_BR,30.33,13.680420910825044,0.45105245337372385,32.21,15.151882784917664,0.4704092761539169,43.0,143.1209999835002,3.328395348453493,-198.88612591998418,10
table2,min,Michalewicz,GenSA,6.27,0.23296171866813395,0.03715497905392886,12.03,0.3807341702184204,0.031648725703941845,813.4,52.72237764858873,0.06481728257756175,-198.88612591998418,10
