strategy,algo,func,dim,rep,fopt,time,iterations,seed,source
rand1bin,SMCO_EVO,Rosenbrock,5000,0,49031106151.1682,23568.406,217,5021,251
rand1bin,DEoptim,Rosenbrock,5000,0,705882802.459967,0.916999999986729,300,5021,251
rand1bin,GA,Rosenbrock,5000,0,696678309.398277,7.49000000000524,300,5021,251
rand1bin,PSO,Rosenbrock,5000,0,2510936355.8992,8.28200000000652,300,5021,251
rand1bin,GenSA,Rosenbrock,5000,0,3990717207.02568,2498359.463,8458476,5021,251
rand1bin,SA,Rosenbrock,5000,0,2749781214.0,180.594999999739,300,5021,251
rand1bin,SMCO,Rosenbrock,5000,1,1945602011.2889,16053.647,371,1005024,251
rand1bin,SMCO_R,Rosenbrock,5000,1,1689177510.78812,16370.224,221,1005024,251
rand1bin,SMCO_BR,Rosenbrock,5000,1,1308910089.03953,17422.811,146,1005024,251
rand1bin,SMCO_EVO,Rosenbrock,5000,1,53403365655.1876,23556.289,217,1005024,251
rand1bin,DEoptim,Rosenbrock,5000,1,706592230.169505,0.839999999996508,300,1005024,251
rand1bin,GA,Rosenbrock,5000,1,680213577.345914,7.36200000000827,300,1005024,251
rand1bin,PSO,Rosenbrock,5000,1,2475373532.29456,8.12900000000081,300,1005024,251
rand1bin,GenSA,Rosenbrock,5000,1,3992211960.38987,2368162.525,8256168,1005024,251
rand1bin,SA,Rosenbrock,5000,1,2756936619.0,178.031000000425,300,1005024,251
rand1bin,SMCO_R_EVO,Rosenbrock,3000,1,12718994881.1991,6174.992,298,1003024,215
rand1bin,SMCO_R_EVO,Rosenbrock,3000,0,10969101503.2028,6229.534,298,3021,215
rand1bin,SMCO_BR_EVO,Rosenbrock,3000,1,10723950406.2335,6315.816,204,1003024,215
rand1bin,SMCO_BR_EVO,Rosenbrock,3000,0,12687500247.6936,6322.178,204,3021,215
rand1bin,SMCO_R_EVO,Rastrigin,3000,0,123353.99990306,7776.133,298,3021,215
rand1bin,SMCO_R_EVO,Rastrigin,3000,1,126958.720596596,7832.551,298,1003024,215
rand1bin,SMCO_R_EVO,Ackley,3000,0,22.0968592453,9355.967,298,3021,215
rand1bin,SMCO_R_EVO,Ackley,3000,1,22.0968141126181,9363.389,298,1003024,215
rand1bin,SMCO_BR_EVO,Rastrigin,3000,0,145184.527159467,8299.718,204,3021,215
rand1bin,SMCO_BR_EVO,Rastrigin,3000,1,135191.325889804,8295.522,204,1003024,215
rand1bin,SMCO_BR_EVO,Ackley,3000,0,22.1126340135621,8847.982,295,3021,215
rand1bin,SMCO_BR_EVO,Ackley,3000,1,22.1091103481573,8869.609,204,1003024,215
rand1bin,SMCO_R_EVO,Rosenbrock,5000,1,17629507294.4001,21093.169,330,1005024,215
rand1bin,SMCO_R_EVO,Rosenbrock,5000,0,18858272911.1,21415.796,330,5021,215
rand1bin,SMCO_BR_EVO,Rosenbrock,5000,1,18786566799.3824,21293.881,236,1005024,215
rand1bin,SMCO_BR_EVO,Rosenbrock,5000,0,20478034156.0569,22124.959,236,5021,215
rand1bin,SMCO_R_EVO,Rastrigin,5000,1,203431.929144,28389.036,330,1005024,215
rand1bin,SMCO_R_EVO,Rastrigin,5000,0,198498.926719561,28794.84,330,5021,215
rand1bin,SMCO_R_EVO,Ackley,5000,0,22.0980517279687,33712.209,330,5021,215
rand1bin,SMCO_R_EVO,Ackley,5000,1,22.0893841231804,34082.792,330,1005024,215
rand1bin,SMCO_BR_EVO,Rastrigin,5000,1,221076.93982063,30600.486,236,1005024,215
rand1bin,SMCO_BR_EVO,Rastrigin,5000,0,223475.220230351,30940.949,236,5021,215
rand1bin,SMCO_BR_EVO,Ackley,5000,0,22.1059256586047,31938.675,343,5021,215
rand1bin,SMCO_BR_EVO,Ackley,5000,1,22.1079949609882,32076.187,343,1005024,215
