source,label,name,dim,algo,strategy,reference_best_opt,fopt_mean,gap_to_reference
r_synced,DixonPrice_10d,DixonPrice,10,SMCO_EVO,rand1bin,9.166645534374761e-14,0.6710605537094362,0.6710605537093445
r_synced,DixonPrice_10d,DixonPrice,10,SMCO_R_EVO,rand1bin,9.166645534374761e-14,0.6670999103428179,0.6670999103427262
r_synced,DixonPrice_10d,DixonPrice,10,SMCO_BR_EVO,rand1bin,9.166645534374761e-14,0.2697957358040849,0.26979573580399324
r_synced,DropWave_2d,DropWave,2,SMCO_EVO,rand1bin,-1.0,-0.9630034360306539,0.03699656396934614
r_synced,DropWave_2d,DropWave,2,SMCO_R_EVO,rand1bin,-1.0,-0.971210042195985,0.028789957804015054
r_synced,DropWave_2d,DropWave,2,SMCO_BR_EVO,rand1bin,-1.0,-0.9744087044577968,0.025591295542203185
r_synced,Easom_2d,Easom,2,SMCO_EVO,rand1bin,-1.0,-0.4774813597598233,0.5225186402401767
r_synced,Easom_2d,Easom,2,SMCO_R_EVO,rand1bin,-1.0,-0.8491058430285842,0.15089415697141584
r_synced,Easom_2d,Easom,2,SMCO_BR_EVO,rand1bin,-1.0,-0.7485713532030382,0.25142864679696175
r_synced,Eggholder_2d,Eggholder,2,SMCO_EVO,rand1bin,-959.640662720851,-833.1891757547589,126.45148696609203
r_synced,Eggholder_2d,Eggholder,2,SMCO_R_EVO,rand1bin,-959.640662720851,-867.6149933443955,92.02566937645543
r_synced,Eggholder_2d,Eggholder,2,SMCO_BR_EVO,rand1bin,-959.640662720851,-877.2395992631916,82.40106345765935
r_synced,Griewank_10d,Griewank,10,SMCO_EVO,rand1bin,3.319344799024293e-12,0.303351931095288,0.3033519310919687
r_synced,Griewank_10d,Griewank,10,SMCO_R_EVO,rand1bin,3.319344799024293e-12,0.0690426382206514,0.06904263821733206
r_synced,Griewank_10d,Griewank,10,SMCO_BR_EVO,rand1bin,3.319344799024293e-12,0.09849467490257853,0.09849467489925919
r_synced,McCormick_2d,McCormick,2,SMCO_EVO,rand1bin,-1.9132229549810367,-1.9132228209145326,1.3406650412051135e-07
