label,algo,baseline_strategy,strategy,baseline_gap,strategy_gap,gap_improvement_vs_baseline,winner
table2_Michalewicz_d200_max,SMCO_BR_EVO,rand1bin,current-to-best1bin,1.1589055102916174e-12,1.7501975500876674e-12,-5.9129203979605e-13,rand1bin
table2_Michalewicz_d200_max,SMCO_BR_EVO,rand1bin,best1bin,1.1589055102916174e-12,1.7501975500876674e-12,-5.9129203979605e-13,rand1bin
table2_Michalewicz_d200_max,SMCO_BR_EVO,rand1bin,sobol,1.1589055102916174e-12,9.577980627909074e-13,2.0110744750071e-13,sobol
table2_Michalewicz_d200_min,SMCO_EVO,rand1bin,current-to-best1bin,33.59139272591807,33.89562723051327,-0.3042345045952004,rand1bin
table2_Michalewicz_d200_min,SMCO_EVO,rand1bin,best1bin,33.59139272591807,33.18769448464164,0.4036982412764303,best1bin
table2_Michalewicz_d200_min,SMCO_EVO,rand1bin,sobol,33.59139272591807,33.2193594486279,0.3720332772901713,sobol
table2_Michalewicz_d200_min,SMCO_R_EVO,rand1bin,current-to-best1bin,0.7115596403895665,1.1068829957847015,-0.39532335539513497,rand1bin
table2_Michalewicz_d200_min,SMCO_R_EVO,rand1bin,best1bin,0.7115596403895665,1.0385165049230238,-0.3269568645334573,rand1bin
table2_Michalewicz_d200_min,SMCO_R_EVO,rand1bin,sobol,0.7115596403895665,0.8193353800298269,-0.10777573964026033,rand1bin
table2_Michalewicz_d200_min,SMCO_BR_EVO,rand1bin,current-to-best1bin,3.892204110781279,4.081229274102441,-0.18902516332116193,rand1bin
table2_Michalewicz_d200_min,SMCO_BR_EVO,rand1bin,best1bin,3.892204110781279,4.199150048864169,-0.3069459380828903,rand1bin
table2_Michalewicz_d200_min,SMCO_BR_EVO,rand1bin,sobol,3.892204110781279,3.72970082900801,0.16250328177326878,sobol
table2_Rastrigin_d200_max,SMCO_EVO,rand1bin,current-to-best1bin,1745.3200514724258,1738.9684918316325,6.351559640793312,current-to-best1bin
table2_Rastrigin_d200_max,SMCO_EVO,rand1bin,best1bin,1745.3200514724258,1738.9684918316325,6.351559640793312,best1bin
table2_Rastrigin_d200_max,SMCO_EVO,rand1bin,sobol,1745.3200514724258,1739.0548149191509,6.265236553274917,sobol
table2_Rastrigin_d200_max,SMCO_R_EVO,rand1bin,current-to-best1bin,1743.0798241820576,1736.8334185832773,6.246405598780257,current-to-best1bin
table2_Rastrigin_d200_max,SMCO_R_EVO,rand1bin,best1bin,1743.0798241820576,1736.8334185832773,6.246405598780257,best1bin
table2_Rastrigin_d200_max,SMCO_R_EVO,rand1bin,sobol,1743.0798241820576,1736.8381535178614,6.2416706641961355,sobol
