strategy,algo,func,dim,rep,fopt,time,iterations,seed,source
rand1bin,SMCO_EVO,Ackley,5000,0,-0.328731697274002,38013.347,217,5021,main
rand1bin,SMCO_BR_EVO,Rosenbrock,5000,1,-122.328131412351,28386.55,528,1005024,main
rand1bin,DEoptim,Rosenbrock,5000,1,-570368657.799083,1.09700000000885,300,1005024,main
rand1bin,GA,Rosenbrock,5000,1,-35504588.5982075,11.2850000000035,300,1005024,main
rand1bin,PSO,Rosenbrock,5000,1,-88287589.1151616,9.34600000001956,300,1005024,main
rand1bin,SMCO_R_EVO,Rastrigin,5000,0,-42332.8138319831,30949.886,771,5021,main
rand1bin,SMCO_R_EVO,Rastrigin,5000,1,-43001.1666424063,31538.952,771,1005024,main
rand1bin,SMCO_BR_EVO,Rosenbrock,5000,0,-122.839371282961,28546.517,528,5021,main
rand1bin,DEoptim,Rosenbrock,5000,0,-566804167.417851,1.04999999998836,300,5021,main
rand1bin,GA,Rosenbrock,5000,0,-31356476.9314052,10.5559999999823,300,5021,main
rand1bin,PSO,Rosenbrock,5000,0,-81734327.6123184,8.94699999998556,300,5021,main
rand1bin,SMCO_R_EVO,Ackley,5000,1,-0.0726046740453339,28978.571,330,1005024,main
rand1bin,SMCO_R_EVO,Ackley,5000,0,-0.0725025050035488,28960.737,771,5021,main
rand1bin,SMCO_BR_EVO,Rastrigin,5000,0,-42406.7188717431,31895.272,528,5021,main
rand1bin,DEoptim,Rastrigin,5000,0,-88429.6022882344,1.30999999999767,300,5021,main
rand1bin,GA,Rastrigin,5000,0,-50866.7971675645,9.08900000000722,300,5021,main
rand1bin,PSO,Rastrigin,5000,0,-56107.5703526451,9.08199999999488,300,5021,main
rand1bin,SMCO_BR_EVO,Rastrigin,5000,1,-43075.1600037081,31853.397,528,1005024,main
rand1bin,DEoptim,Rastrigin,5000,1,-88423.1238088207,1.36499999999069,300,1005024,main
rand1bin,GA,Rastrigin,5000,1,-49626.3153814678,9.09999999997672,300,1005024,main
rand1bin,PSO,Rastrigin,5000,1,-54606.5142861714,9.10899999999674,300,1005024,main
rand1bin,SMCO_BR_EVO,Ackley,5000,1,-0.0782995415702747,30196.435,528,1005024,main
rand1bin,DEoptim,Ackley,5000,1,-21.1662873748633,1.38399999999092,300,1005024,main
rand1bin,GA,Ackley,5000,1,-14.9421974477315,9.08199999999488,300,1005024,main
rand1bin,PSO,Ackley,5000,1,-18.3820428926082,9.14600000000792,300,1005024,main
