strategy,algo,func,dim,rep,fopt,time,iterations,seed,shard
rand1bin,GA,Ackley,200,1,-11.04315616768188,1.6331727672368288,300,504935661,213
rand1bin,DEoptim,Rastrigin,200,1,-2146.991978901859,190.4156809169799,300,1677437249,213
rand1bin,SignGD,Ackley,200,1,-19.542407642497437,16.890899125486612,2014,504935661,213
rand1bin,PSO,Ackley,200,1,-20.359028987307045,0.7275324277579784,300,504935661,213
rand1bin,SA,Rastrigin,200,8,-100.49081942606358,70.89874709025025,300,483844954,213
rand1bin,BOBYQA,Rastrigin,200,9,-2251.2245274359425,68.01180041767657,4500,1821966834,213
rand1bin,BOBYQA,Rastrigin,200,8,-2231.4386460361693,83.04260390251875,4500,483844954,213
rand1bin,DEoptim,Rastrigin,200,2,-2237.189951651793,189.70779238082469,300,869192137,213
rand1bin,SMCO_EVO,Ackley,200,0,-0.3757617340234636,61.68640573322773,315,336993081,213
rand1bin,SA,Rastrigin,200,9,-109.44543074321427,67.799848806113,300,1821966834,213
rand1bin,SMCO,Ackley,200,0,-0.3755980829802934,69.98577060550451,315,336993081,213
rand1bin,SMCO_R,Ackley,200,0,-0.0735372413480353,69.37902878969908,165,336993081,213
rand1bin,SPSA,Ackley,200,2,-21.0267099665155,0.2580902297049761,2149,844538354,213
rand1bin,optimLBFGS,Ackley,200,2,-19.452301282112813,2.3795666433870792,206,844538354,213
rand1bin,optimNM,Ackley,200,2,-21.05664746879688,1.4470045026391745,4500,844538354,213
rand1bin,SMCO_BR,Ackley,200,0,-0.0794815914264472,75.32753309607506,90,336993081,213
rand1bin,GenSA,Ackley,200,1,-2.2892458151346773e-08,35.7869518827647,300,504935661,213
rand1bin,SMCO,Ackley,200,1,-0.377317707299206,59.17222971469164,315,504935661,213
rand1bin,GA,Ackley,200,2,-11.40584688418962,1.2495691664516926,300,844538354,213
rand1bin,SignGD,Ackley,200,2,-19.46194297520759,17.718851840123534,2513,844538354,213
rand1bin,PSO,Ackley,200,2,-20.34722359871716,0.6425461526960135,300,844538354,213
rand1bin,SMCO_R_EVO,Ackley,200,0,-0.073449256686946,75.73513804748654,315,336993081,213
rand1bin,GD,Ackley,200,0,-19.465962059858292,71.44262137636542,7518,336993081,213
rand1bin,SMCO_BR_EVO,Ackley,200,0,-0.0771595578890544,76.64466612786055,165,336993081,213
rand1bin,SMCO_R,Ackley,200,1,-0.0736351495689828,65.84635894559324,165,504935661,213
rand1bin,DEoptim,Rastrigin,200,3,-2109.7349400222283,186.37564946338532,300,949772676,213
rand1bin,SMCO_R_EVO,Ackley,200,1,-0.0723949247707484,66.40775392018259,315,504935661,213
rand1bin,ADAM,Ackley,200,0,-19.46596205985374,81.37426564469934,8987,336993081,213
rand1bin,BOBYQA,Ackley,200,0,-20.277629539269448,80.35178034193814,4500,336993081,213
rand1bin,SPSA,Ackley,200,3,-21.025006007976994,0.387547068297863,3007,400416125,213
rand1bin,GD,Ackley,200,1,-19.46407093190488,63.235482931137085,7512,504935661,213
rand1bin,SMCO_BR,Ackley,200,1,-0.0786723178639339,70.72661594301462,90,504935661,213
rand1bin,optimNM,Ackley,200,3,-21.134848192429537,2.23412162065506,4500,400416125,213
rand1bin,optimLBFGS,Ackley,200,3,-19.51280523011169,4.247197454795241,201,400416125,213
rand1bin,SMCO_EVO,Ackley,200,1,-0.3712069821179473,73.82478086464107,315,504935661,213
rand1bin,DEoptim,Rastrigin,200,4,-2119.0808450144905,197.1823002956808,300,1673381394,213
rand1bin,GA,Ackley,200,3,-11.083078924109792,1.4441351238638165,300,400416125,213
rand1bin,PSO,Ackley,200,3,-20.211487442056963,0.6444107573479414,300,400416125,213
rand1bin,GenSA,Ackley,200,2,-1.988274123121414e-08,34.480821661651134,300,844538354,213
rand1bin,SMCO_BR_EVO,Ackley,200,1,-0.0808638117740696,79.2277678437531,165,504935661,213
rand1bin,BOBYQA,Ackley,200,1,-20.315105879829712,76.11211067996919,4500,504935661,213
rand1bin,ADAM,Ackley,200,1,-19.464070925549617,81.15031529963017,8938,504935661,213
rand1bin,SMCO,Ackley,200,2,-0.3805355785370037,66.18542503938079,315,844538354,213
rand1bin,SignGD,Ackley,200,3,-19.52449316319417,23.650747131556276,2513,400416125,213
rand1bin,SMCO_R,Ackley,200,2,-0.073152178018788,67.72952852398157,165,844538354,213
rand1bin,SMCO_EVO,Ackley,200,2,-0.3759905945180688,67.49959369376302,315,844538354,213
rand1bin,SA,Ackley,200,0,-19.3892571250578,104.14309358783066,300,336993081,213
rand1bin,SPSA,Ackley,200,4,-21.102059352794164,0.3171466514468193,2627,1144863697,213
rand1bin,SMCO_R_EVO,Ackley,200,2,-0.0741758969119996,61.94182974845171,315,844538354,213
rand1bin,optimLBFGS,Ackley,200,4,-19.43730316617038,2.4702462181448936,203,1144863697,213
rand1bin,optimNM,Ackley,200,4,-21.12752325580593,1.3404450304806232,4500,1144863697,213
rand1bin,SMCO_BR,Ackley,200,2,-0.0755617352739794,76.07024250179529,90,844538354,213
rand1bin,GD,Ackley,200,2,-19.45256482683987,65.1292066257447,7763,844538354,213
rand1bin,DEoptim,Rastrigin,200,6,-2072.11852596381,183.8980944082141,300,1016789110,213
rand1bin,DEoptim,Rastrigin,200,5,-2060.9199290282154,201.46053306385875,300,625018708,213
rand1bin,GA,Ackley,200,4,-11.239124427488212,1.5491137076169252,300,1144863697,213
rand1bin,PSO,Ackley,200,4,-20.464375265154526,0.6500888559967279,300,1144863697,213
rand1bin,GenSA,Ackley,200,3,-3.401649526502126e-07,34.60226447507739,300,400416125,213
rand1bin,SignGD,Ackley,200,4,-19.536566315854312,18.215676430612803,2014,1144863697,213
rand1bin,SMCO_BR_EVO,Ackley,200,2,-0.0785834486528185,74.79702549800277,165,844538354,213
rand1bin,ADAM,Ackley,200,2,-19.45230077256556,77.22239379025996,9000,844538354,213
rand1bin,BOBYQA,Ackley,200,2,-20.214387593382718,76.12206458859146,4500,844538354,213
rand1bin,SA,Ackley,200,1,-19.40404246553188,106.25468405149876,300,504935661,213
rand1bin,SMCO,Ackley,200,3,-0.3814390548163797,68.94479208812118,315,400416125,213
rand1bin,GD,Ackley,200,3,-19.512805219931217,64.50051551498473,7643,400416125,213
rand1bin,SPSA,Ackley,200,5,-21.039978437217275,0.389104338362813,3275,637001453,213
